date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2020/1/1,3:56:19,茨城県北部,36°48.2′N,140°32.4′E,8 km,3.2,震度１,36.80333333,140.54
2020/1/1,10:12:17,浦河沖,41°48.5′N,142°30.4′E,69 km,3.6,震度１,41.80833333,142.5066667
2020/1/1,19:49:16,岩手県内陸南部,39°21.3′N,141°12.3′E,10 km,3.1,震度１,39.355,141.205
2020/1/2,6:26:48,熊本県熊本地方,32°51.6′N,130°52.5′E,11 km,2.1,震度１,32.86,130.875
2020/1/3,3:23:53,千葉県東方沖,35°48.6′N,141°06.9′E,34 km,5.8,震度４,35.81,141.115
2020/1/3,9:55:57,天草灘,32°08.4′N,130°03.5′E,8 km,2.5,震度１,32.14,130.0583333
2020/1/3,10:19:10,秋田県沖,40°08.9′N,139°29.1′E,204 km,4.8,震度２,40.14833333,139.485
2020/1/3,11:09:05,釧路沖,42°55.0′N,145°28.7′E,45 km,3.8,震度１,42.91666667,145.4783333
2020/1/3,14:30:02,岐阜県美濃中西部,35°30.3′N,136°40.7′E,7 km,3.3,震度２,35.505,136.6783333
2020/1/3,17:08:35,留萌地方南部,44°01.3′N,141°55.5′E,0 km,1.8,震度２,44.02166667,141.925
2020/1/4,3:28:37,熊本県天草・芦北地方,32°13.3′N,130°26.7′E,7 km,1.8,震度１,32.22166667,130.445
2020/1/4,7:50:15,宮城県沖,38°54.1′N,142°24.0′E,37 km,3.6,震度１,38.90166667,142.4
2020/1/4,13:35:37,茨城県南部,36°10.8′N,140°01.4′E,52 km,3.1,震度２,36.18,140.0233333
2020/1/5,6:15:03,宮城県沖,38°53.8′N,142°04.1′E,44 km,3.5,震度１,38.89666667,142.0683333
2020/1/5,11:10:24,硫黄島近海,23°04.8′N,142°59.5′E,171 km,5.8,震度１,23.08,142.9916667
2020/1/5,18:43:40,トカラ列島近海,29°35.3′N,129°42.9′E,7 km,2.4,震度１,29.58833333,129.715
2020/1/5,21:25:51,四国沖,31°27.2′N,133°07.3′E,40 km,4.4,震度１,31.45333333,133.1216667
2020/1/6,2:05:45,伊勢湾,34°53.0′N,136°49.0′E,14 km,3.1,震度２,34.88333333,136.8166667
2020/1/6,4:20:28,茨城県北部,36°44.9′N,140°34.5′E,10 km,3.4,震度２,36.74833333,140.575
2020/1/6,9:20:51,奄美大島北東沖,29°10.9′N,130°29.2′E,68 km,4.9,震度２,29.18166667,130.4866667
2020/1/6,9:53:35,奄美大島北東沖,29°10.0′N,130°29.5′E,68 km,4.8,震度２,29.16666667,130.4916667
2020/1/6,22:46:43,釧路地方中南部,42°59.5′N,143°49.3′E,18 km,3.4,震度２,42.99166667,143.8216667
2020/1/7,15:07:43,沖縄本島近海,26°21.3′N,127°37.8′E,22 km,3.3,震度２,26.355,127.63
2020/1/7,17:18:29,宮城県北部,38°51.5′N,141°34.3′E,76 km,3.3,震度１,38.85833333,141.5716667
2020/1/8,0:32:52,群馬県北部,36°54.6′N,139°23.4′E,5 km,2.7,震度２,36.91,139.39
2020/1/8,4:22:00,茨城県南部,36°08.6′N,139°49.3′E,51 km,3.9,震度２,36.14333333,139.8216667
2020/1/8,8:56:22,熊本県熊本地方,32°32.1′N,130°41.8′E,8 km,2.6,震度１,32.535,130.6966667
2020/1/8,9:02:30,北海道東方沖,43°19.3′N,147°01.8′E,46 km,4.5,震度１,43.32166667,147.03
2020/1/8,11:57:48,福島県沖,37°09.1′N,141°59.6′E,41 km,4.7,震度２,37.15166667,141.9933333
2020/1/8,22:34:53,福岡県北西沖,33°43.2′N,130°13.3′E,10 km,3,震度１,33.72,130.2216667
2020/1/9,6:29:24,愛知県東部,34°57.0′N,137°27.0′E,40 km,3,震度１,34.95,137.45
2020/1/10,2:31:25,静岡県東部,35°14.3′N,138°42.0′E,7 km,1.1,震度１,35.23833333,138.7
2020/1/10,17:09:50,奈良県,34°03.4′N,135°38.6′E,53 km,3.2,震度１,34.05666667,135.6433333
2020/1/10,19:59:14,石垣島近海,24°30.7′N,124°22.2′E,52 km,4.4,震度１,24.51166667,124.37
2020/1/11,0:59:25,トカラ列島近海,29°35.2′N,129°43.2′E,4 km,2.7,震度２,29.58666667,129.72
2020/1/11,1:00:18,トカラ列島近海,29°35.6′N,129°40.0′E,5 km,2.6,震度２,29.59333333,129.6666667
2020/1/11,15:25:15,種子島近海,30°13.9′N,130°35.3′E,3 km,2,震度１,30.23166667,130.5883333
2020/1/11,16:34:47,長野県北部,36°54.6′N,138°34.9′E,3 km,2.1,震度１,36.91,138.5816667
2020/1/11,20:53:55,熊本県熊本地方,32°43.6′N,130°47.4′E,8 km,2.2,震度１,32.72666667,130.79
2020/1/11,21:11:28,千葉県東方沖,35°33.7′N,141°05.2′E,36 km,3.4,震度１,35.56166667,141.0866667
2020/1/12,0:55:41,根室半島南東沖,43°19.2′N,146°22.6′E,48 km,4.8,震度３,43.32,146.3766667
2020/1/12,10:06:25,種子島近海,30°13.6′N,130°35.3′E,4 km,2.1,震度１,30.22666667,130.5883333
2020/1/12,11:42:04,長野県北部,36°57.7′N,138°26.4′E,6 km,2.6,震度１,36.96166667,138.44
2020/1/12,21:31:37,石垣島近海,24°42.2′N,124°25.5′E,19 km,3.6,震度１,24.70333333,124.425
2020/1/13,3:34:45,長野県北部,36°54.5′N,138°34.6′E,3 km,2.9,震度２,36.90833333,138.5766667
2020/1/13,10:52:18,栃木県北部,36°38.5′N,139°25.8′E,8 km,2.7,震度１,36.64166667,139.43
2020/1/13,11:28:21,沖縄本島近海,26°29.8′N,127°14.4′E,14 km,3.3,震度１,26.49666667,127.24
2020/1/14,1:09:21,トカラ列島近海,29°34.2′N,129°43.3′E,2 km,2.3,震度１,29.57,129.7216667
2020/1/14,1:14:26,トカラ列島近海,29°35.7′N,129°41.5′E,4 km,2.5,震度２,29.595,129.6916667
2020/1/14,1:58:00,紀伊水道,34°03.6′N,135°06.2′E,7 km,3,震度１,34.06,135.1033333
2020/1/14,4:53:49,茨城県南部,36°04.6′N,139°53.0′E,46 km,4.8,震度４,36.07666667,139.8833333
2020/1/14,13:25:50,茨城県沖,36°07.3′N,140°52.5′E,52 km,4.9,震度３,36.12166667,140.875
2020/1/14,16:39:52,茨城県南部,36°04.7′N,139°53.3′E,44 km,3.1,震度１,36.07833333,139.8883333
2020/1/14,22:19:44,青森県東方沖,40°45.3′N,141°28.4′E,80 km,3.3,震度１,40.755,141.4733333
2020/1/15,8:18:57,茨城県沖,36°25.9′N,140°41.2′E,52 km,3.7,震度２,36.43166667,140.6866667
2020/1/15,19:50:24,福島県沖,37°45.7′N,141°49.2′E,39 km,3.8,震度１,37.76166667,141.82
2020/1/15,20:31:36,釧路沖,42°54.5′N,145°07.0′E,91 km,4.8,震度３,42.90833333,145.1166667
2020/1/16,4:36:04,釧路沖,42°58.2′N,145°24.2′E,47 km,3.2,震度１,42.97,145.4033333
2020/1/16,9:01:51,長野県南部,35°52.8′N,137°34.6′E,6 km,3.1,震度２,35.88,137.5766667
2020/1/16,18:36:13,沖縄本島近海,26°32.3′N,127°43.4′E,14 km,4.2,震度４,26.53833333,127.7233333
2020/1/16,18:42:44,沖縄本島近海,26°32.4′N,127°43.3′E,13 km,3.8,震度２,26.54,127.7216667
2020/1/17,2:16:07,天草灘,32°08.4′N,130°03.5′E,9 km,2.9,震度１,32.14,130.0583333
2020/1/17,2:39:25,和歌山県南部,33°41.7′N,135°28.6′E,23 km,3.4,震度２,33.695,135.4766667
2020/1/17,7:11:21,トカラ列島近海,29°37.2′N,129°44.7′E,0 km,3,震度３,29.62,129.745
2020/1/17,12:49:52,宮城県沖,38°42.1′N,141°47.6′E,53 km,2.9,震度１,38.70166667,141.7933333
2020/1/18,2:53:46,宮城県沖,38°54.2′N,142°05.9′E,44 km,4,震度２,38.90333333,142.0983333
2020/1/18,13:32:01,釧路地方中南部,42°59.7′N,144°05.8′E,83 km,3.5,震度１,42.995,144.0966667
2020/1/19,3:51:39,紀伊水道,33°51.1′N,134°58.9′E,10 km,3.1,震度１,33.85166667,134.9816667
2020/1/19,6:57:37,岩手県内陸南部,39°06.0′N,140°56.6′E,9 km,2.8,震度１,39.1,140.9433333
2020/1/19,7:41:28,茨城県北部,36°47.6′N,140°32.9′E,9 km,3.3,震度１,36.79333333,140.5483333
2020/1/19,17:00:14,新潟県上中越沖,37°41.8′N,138°22.2′E,23 km,3.4,震度１,37.69666667,138.37
2020/1/20,8:46:09,和歌山県南部,33°55.4′N,135°30.3′E,52 km,3.5,震度２,33.92333333,135.505
2020/1/20,17:04:29,奄美大島近海,28°15.5′N,129°57.7′E,21 km,3.4,震度２,28.25833333,129.9616667
2020/1/21,7:20:42,宮城県沖,38°32.3′N,141°43.0′E,52 km,3.6,震度１,38.53833333,141.7166667
2020/1/21,9:26:39,茨城県南部,36°18.5′N,140°01.6′E,72 km,3.2,震度１,36.30833333,140.0266667
2020/1/21,13:55:27,熊本県熊本地方,32°31.7′N,130°41.0′E,7 km,2.6,震度１,32.52833333,130.6833333
2020/1/21,19:17:55,茨城県沖,36°25.6′N,140°38.8′E,53 km,4.2,震度４,36.42666667,140.6466667
2020/1/22,4:34:32,岩手県沿岸北部,39°45.4′N,141°51.1′E,58 km,3.7,震度１,39.75666667,141.8516667
2020/1/22,12:21:24,西表島付近,24°04.7′N,123°28.0′E,25 km,3.8,震度１,24.07833333,123.4666667
2020/1/22,18:52:42,徳島県南部,33°54.1′N,134°27.9′E,3 km,3.1,震度３,33.90166667,134.465
2020/1/22,19:38:06,福島県沖,37°01.8′N,141°19.0′E,49 km,3.5,震度２,37.03,141.3166667
2020/1/22,22:40:34,茨城県南部,35°59.5′N,140°15.9′E,42 km,3.5,震度１,35.99166667,140.265
2020/1/22,22:43:25,茨城県南部,35°59.5′N,140°15.7′E,41 km,3.5,震度１,35.99166667,140.2616667
2020/1/22,23:32:44,与那国島近海,23°57.4′N,122°39.4′E,39 km,4.6,震度１,23.95666667,122.6566667
2020/1/23,6:09:39,日向灘,32°03.4′N,131°51.2′E,33 km,3.6,震度１,32.05666667,131.8533333
2020/1/23,7:08:46,根室半島南東沖,42°59.6′N,145°46.7′E,73 km,4,震度２,42.99333333,145.7783333
2020/1/23,8:28:44,滋賀県北部,35°31.7′N,136°22.1′E,13 km,2.5,震度１,35.52833333,136.3683333
2020/1/23,16:13:08,静岡県西部,34°41.0′N,137°50.9′E,34 km,3.7,震度２,34.68333333,137.8483333
2020/1/24,9:31:12,トカラ列島近海,29°37.0′N,129°43.5′E,0 km,2.1,震度１,29.61666667,129.725
2020/1/24,9:33:27,トカラ列島近海,29°36.0′N,129°43.7′E,0 km,1.8,震度１,29.6,129.7283333
2020/1/24,12:44:29,福島県沖,36°58.0′N,142°04.4′E,42 km,4.6,震度１,36.96666667,142.0733333
2020/1/25,10:34:35,千葉県東方沖,35°16.0′N,140°38.6′E,58 km,4.1,震度２,35.26666667,140.6433333
2020/1/25,19:04:13,熊本県阿蘇地方,32°57.8′N,131°05.9′E,9 km,2.3,震度１,32.96333333,131.0983333
2020/1/25,20:01:21,茨城県沖,36°29.5′N,141°36.8′E,61 km,4.4,震度１,36.49166667,141.6133333
2020/1/26,2:44:35,釧路沖,42°42.3′N,145°13.9′E,50 km,3.7,震度１,42.705,145.2316667
2020/1/26,7:45:09,五島列島近海,33°07.5′N,128°36.6′E,16 km,3.9,震度１,33.125,128.61
2020/1/26,18:55:17,奄美大島近海,28°22.6′N,129°24.8′E,12 km,3.4,震度１,28.37666667,129.4133333
2020/1/28,2:19:19,東京湾,35°39.0′N,140°01.9′E,65 km,3,震度１,35.65,140.0316667
2020/1/28,10:15:05,熊本県熊本地方,32°43.6′N,130°45.0′E,13 km,2.9,震度１,32.72666667,130.75
2020/1/28,10:36:04,根室半島南東沖,43°22.4′N,145°59.0′E,96 km,5.5,震度４,43.37333333,145.9833333
2020/1/28,12:23:50,岩手県沖,39°09.9′N,142°34.0′E,29 km,4.1,震度２,39.165,142.5666667
2020/1/28,16:21:38,熊本県熊本地方,32°41.1′N,130°43.1′E,13 km,2.6,震度２,32.685,130.7183333
2020/1/28,19:13:48,青森県東方沖,40°58.9′N,142°00.1′E,57 km,4.2,震度３,40.98166667,142.0016667
2020/1/28,23:59:45,宮城県沖,38°53.3′N,141°58.2′E,49 km,3.9,震度２,38.88833333,141.97
2020/1/29,1:33:36,釧路沖,43°00.9′N,144°50.8′E,61 km,3.9,震度２,43.015,144.8466667
2020/1/29,7:00:40,周防灘,33°56.1′N,131°26.3′E,15 km,3,震度１,33.935,131.4383333
2020/1/29,8:39:27,沖縄本島北西沖,27°19.9′N,126°31.9′E,14 km,5.7,震度２,27.33166667,126.5316667
2020/1/29,17:45:20,茨城県北部,36°47.7′N,140°32.7′E,9 km,3.7,震度２,36.795,140.545
2020/1/29,19:32:25,千葉県東方沖,35°40.2′N,140°44.2′E,47 km,4.2,震度１,35.67,140.7366667
2020/1/29,22:52:29,日向灘,31°31.3′N,131°45.9′E,21 km,3.8,震度１,31.52166667,131.765
2020/1/30,11:54:37,熊本県熊本地方,33°01.3′N,130°33.2′E,9 km,3.6,震度３,33.02166667,130.5533333
2020/1/30,19:55:55,熊本県熊本地方,32°35.6′N,130°39.2′E,12 km,3.9,震度３,32.59333333,130.6533333
2020/1/30,22:07:42,神奈川県西部,35°30.2′N,139°08.6′E,18 km,2.9,震度１,35.50333333,139.1433333
2020/1/31,20:29:45,福島県沖,37°23.1′N,141°20.9′E,34 km,3.6,震度２,37.385,141.3483333
2020/1/31,20:50:02,三重県北部,34°52.5′N,136°34.3′E,12 km,2,震度１,34.875,136.5716667
2020/1/31,21:26:34,福島県沖,37°46.4′N,141°48.7′E,40 km,3.7,震度１,37.77333333,141.8116667
2020/2/1,1:11:22,千葉県東方沖,35°40.4′N,140°42.7′E,50 km,5,震度３,35.67333333,140.7116667
2020/2/1,2:07:48,茨城県南部,35°58.1′N,140°03.8′E,63 km,5.3,震度４,35.96833333,140.0633333
2020/2/1,3:07:12,千葉県南部,35°21.3′N,139°55.9′E,76 km,3,震度１,35.355,139.9316667
2020/2/1,7:36:28,青森県三八上北地方,40°26.3′N,141°33.2′E,111 km,3.1,震度１,40.43833333,141.5533333
2020/2/1,17:21:42,根室半島南東沖,42°59.0′N,145°56.5′E,47 km,4.2,震度２,42.98333333,145.9416667
2020/2/1,22:10:47,福島県沖,37°14.1′N,141°36.3′E,49 km,3.9,震度１,37.235,141.605
2020/2/2,15:28:09,山梨県東部・富士五湖,35°31.0′N,138°53.3′E,181 km,4.5,震度１,35.51666667,138.8883333
2020/2/2,20:11:21,奄美大島近海,28°49.5′N,129°55.3′E,26 km,4.5,震度２,28.825,129.9216667
2020/2/2,22:46:09,熊本県熊本地方,32°22.5′N,130°40.8′E,12 km,3.4,震度２,32.375,130.68
2020/2/4,4:54:05,釧路沖,42°53.9′N,145°28.5′E,45 km,3.7,震度１,42.89833333,145.475
2020/2/4,23:22:34,岐阜県飛騨地方,36°03.1′N,137°32.4′E,6 km,2.5,震度１,36.05166667,137.54
2020/2/5,1:38:59,宮城県沖,38°31.8′N,141°48.7′E,49 km,3,震度１,38.53,141.8116667
2020/2/5,4:10:09,愛媛県東予,33°58.0′N,132°55.4′E,11 km,2.7,震度１,33.96666667,132.9233333
2020/2/5,6:35:13,福島県沖,36°44.1′N,141°49.8′E,55 km,4.4,震度１,36.735,141.83
2020/2/5,10:00:48,根室半島南東沖,43°13.6′N,146°05.7′E,45 km,4.4,震度２,43.22666667,146.095
2020/2/5,14:29:46,岐阜県飛騨地方,36°05.6′N,137°32.5′E,5 km,2.5,震度２,36.09333333,137.5416667
2020/2/6,14:29:58,宮城県沖,38°18.1′N,141°51.5′E,46 km,3.5,震度１,38.30166667,141.8583333
2020/2/6,20:19:57,茨城県沖,36°20.6′N,141°43.5′E,54 km,5.7,震度２,36.34333333,141.725
2020/2/7,5:41:09,宮城県沖,38°53.5′N,142°05.4′E,44 km,3.4,震度１,38.89166667,142.09
2020/2/7,8:41:12,福島県浜通り,36°59.3′N,140°39.7′E,73 km,3.7,震度２,36.98833333,140.6616667
2020/2/8,2:13:34,薩摩半島西方沖,31°50.4′N,128°54.3′E,29 km,4,震度１,31.84,128.905
2020/2/8,14:55:00,紀伊水道,34°12.8′N,135°05.2′E,9 km,2.9,震度１,34.21333333,135.0866667
2020/2/9,6:58:38,遠州灘,34°00.5′N,138°13.4′E,45 km,3.7,震度１,34.00833333,138.2233333
2020/2/9,8:21:07,徳島県南部,33°45.9′N,134°15.8′E,9 km,3.1,震度１,33.765,134.2633333
2020/2/9,16:36:13,千葉県北東部,35°52.5′N,140°27.5′E,37 km,3.7,震度２,35.875,140.4583333
2020/2/9,23:34:11,福島県会津,37°46.5′N,140°03.6′E,8 km,3.2,震度１,37.775,140.06
2020/2/10,12:22:35,岩手県内陸南部,38°53.8′N,141°16.3′E,114 km,3.7,震度１,38.89666667,141.2716667
2020/2/10,13:22:10,鹿児島県薩摩地方,31°56.5′N,130°48.5′E,2 km,1.8,震度１,31.94166667,130.8083333
2020/2/10,14:03:47,鹿児島県薩摩地方,31°56.6′N,130°48.5′E,1 km,2.3,震度１,31.94333333,130.8083333
2020/2/11,6:11:46,東京都多摩東部,35°34.7′N,139°25.2′E,25 km,3,震度２,35.57833333,139.42
2020/2/11,22:02:29,紀伊水道,34°13.0′N,135°08.7′E,5 km,2.3,震度２,34.21666667,135.145
2020/2/12,3:06:27,北海道東方沖,43°50.7′N,147°09.9′E,52 km,4.4,震度１,43.845,147.165
2020/2/12,4:14:35,山形県置賜地方,37°48.5′N,140°07.6′E,120 km,4,震度１,37.80833333,140.1266667
2020/2/12,6:35:36,長野県中部,36°19.9′N,138°00.6′E,7 km,2.5,震度１,36.33166667,138.01
2020/2/12,18:52:47,茨城県北部,36°48.8′N,140°32.9′E,9 km,2.9,震度１,36.81333333,140.5483333
2020/2/12,19:36:35,胆振地方中東部,42°42.0′N,141°58.5′E,41 km,4.2,震度３,42.7,141.975
2020/2/12,19:37:19,福島県沖,37°18.6′N,141°21.5′E,87 km,5.4,震度４,37.31,141.3583333
2020/2/12,22:05:29,茨城県南部,35°58.6′N,140°02.9′E,62 km,3.3,震度１,35.97666667,140.0483333
2020/2/13,0:17:24,播磨灘,34°39.2′N,134°23.4′E,12 km,2.9,震度１,34.65333333,134.39
2020/2/13,11:04:10,茨城県北部,36°37.8′N,140°38.6′E,9 km,2.7,震度２,36.63,140.6433333
2020/2/13,12:55:48,奄美大島近海,27°34.8′N,129°09.0′E,29 km,4.1,震度２,27.58,129.15
2020/2/13,19:33:45,択捉島南東沖,45°03.3′N,149°09.7′E,155 km,7.2,震度４,45.055,149.1616667
2020/2/14,7:25:40,島根県西部,35°11.3′N,132°34.3′E,11 km,3.1,震度１,35.18833333,132.5716667
