JMAcode,pref,city,lat,lng,rank,shindo
030304,岩手県,滝沢市,39.734684,141.077095,1,1
040102,宮城県,登米市,38.691923,141.187579,2,2
040103,宮城県,栗原市,38.730128,141.021333,2,2
040104,宮城県,大崎市,38.577071,140.955350,2,2
040105,宮城県,色麻町,38.548920,140.849878,2,2
040106,宮城県,加美町,38.571767,140.854751,2,2
040107,宮城県,涌谷町,38.539646,141.128075,2,2
040108,宮城県,美里町,38.544391,141.056695,2,2
040201,宮城県,仙台青葉区,38.269076,140.870403,1,1
040202,宮城県,仙台宮城野区,38.266139,140.909832,1,1
040206,宮城県,石巻市,38.434480,141.302917,2,2
040209,宮城県,東松島市,38.426168,141.210242,1,1
040210,宮城県,富谷市,38.400245, 140.89531,1,1
040212,宮城県,七ヶ浜町,38.304613,141.059186,1,1
040213,宮城県,利府町,38.330190,140.975722,2,2
040214,宮城県,大和町,38.437329,140.886306,1,1
040215,宮城県,大郷町,38.424260,141.004445,1,1
040216,宮城県,大衡村,38.467226,140.880087,2,2
040301,宮城県,白石市,38.002478,140.619860,2,2
040302,宮城県,名取市,38.171520,140.891913,2,2
040303,宮城県,角田市,37.977063,140.781990,2,2
040304,宮城県,岩沼市,38.104292,140.870138,2,2
040305,宮城県,蔵王町,38.098164,140.658416,2,2
040306,宮城県,七ヶ宿町,37.993063,140.441612,1,1
040307,宮城県,大河原町,38.049493,140.730721,2,2
040308,宮城県,村田町,38.118539,140.722404,1,1
040309,宮城県,柴田町,38.056563,140.765790,1,1
040310,宮城県,川崎町,38.177737,140.643202,2,2
040311,宮城県,丸森町,37.911429,140.765528,2,2
040312,宮城県,亘理町,38.037460,140.852581,2,2
040313,宮城県,山元町,37.961668,140.877818,2,2
050108,秋田県,八郎潟町,39.949382,140.073318,1,1
050109,秋田県,井川町,39.914169,140.081294,1,1
050201,秋田県,秋田市,39.720008,140.102564,2,2
050202,秋田県,由利本荘市,39.385877,140.048791,2,2
050203,秋田県,にかほ市,39.203012,139.907713,1,1
050301,秋田県,大館市,40.271405,140.564285,1,1
050401,秋田県,横手市,39.313782,140.566649,2,2
050402,秋田県,湯沢市,39.164304,140.495663,1,1
050403,秋田県,大仙市,39.453088,140.475448,2,2
050404,秋田県,仙北市,39.700069,140.730588,1,1
050405,秋田県,美郷町,39.461905,140.581299,1,1
050406,秋田県,羽後町,39.199323,140.412923,2,2
050407,秋田県,東成瀬村,39.179183,140.648890,1,1
060101,山形県,鶴岡市,38.727197,139.826731,3,3
060102,山形県,酒田市,38.914433,139.836515,3,3
060103,山形県,三川町,38.794487,139.849696,3,3
060104,山形県,庄内町,38.849915,139.904745,3,3
060105,山形県,遊佐町,39.014616,139.907352,2,2
060201,山形県,新庄市,38.765015,140.301608,2,2
060204,山形県,舟形町,38.691444,140.319776,2,2
060205,山形県,真室川町,38.857859,140.252301,2,2
060206,山形県,大蔵村,38.704182,140.230374,1,1
060207,山形県,鮭川村,38.796457,140.222052,2,2
060208,山形県,戸沢村,38.737473,140.143804,2,2
060301,山形県,山形市,38.255439,140.339602,2,2
060302,山形県,寒河江市,38.380964,140.275967,2,2
060303,山形県,上山市,38.149562,140.267827,3,3
060304,山形県,村山市,38.483344,140.380372,3,3
060305,山形県,天童市,38.362265,140.377886,2,2
060306,山形県,東根市,38.431354,140.391090,2,2
060307,山形県,尾花沢市,38.600622,140.405691,2,2
060308,山形県,山辺町,38.289114,140.262178,4,4
060309,山形県,中山町,38.333114,140.283034,4,4
060310,山形県,河北町,38.426271,140.314284,3,3
060311,山形県,西川町,38.426499,140.147347,2,2
060312,山形県,朝日町,38.299248,140.145926,3,3
060313,山形県,大江町,38.380648,140.207013,3,3
060314,山形県,大石田町,38.593863,140.372680,2,2
060401,山形県,米沢市,37.922240,140.116781,3,3
060402,山形県,長井市,38.107494,140.040524,2,2
060403,山形県,南陽市,38.055141,140.148375,3,3
060404,山形県,高畠町,38.002736,140.189160,3,3
060405,山形県,川西町,38.004479,140.045790,3,3
060406,山形県,小国町,38.061627,139.743364,3,3
060407,山形県,白鷹町,38.183095,140.098438,3,3
060408,山形県,飯豊町,38.045827,139.987529,3,3
070101,福島県,福島市,37.760834,140.474728,2,2
