JMAcode,pref,city,lat,lng,rank,shindo
160101,富山県,富山市,36.695952,137.213677,2,2
160105,富山県,舟橋村,36.703531,137.307377,1,1
160107,富山県,立山町,36.663522,137.313697,1,1
160201,富山県,高岡市,36.754096,137.025728,1,1
160202,富山県,氷見市,36.855981,136.972849,1,1
160204,富山県,小矢部市,36.675575,136.868622,2,2
160205,富山県,南砺市,36.557513,136.875336,1,1
160206,富山県,射水市,36.782455,137.079614,1,1
170101,石川県,七尾市,37.043102,136.967518,2,2
170102,石川県,輪島市,37.390590,136.899196,3,3
170103,石川県,珠洲市,37.436347,137.260436,1,1
170104,石川県,羽咋市,36.893599,136.778996,2,2
170105,石川県,志賀町,37.006312,136.778010,7,6弱
170106,石川県,宝達志水町,36.862773,136.797529,2,2
170107,石川県,中能登町,36.988884,136.901832,3,3
170108,石川県,穴水町,37.230995,136.912475,2,2
170109,石川県,能登町,37.353216,137.244521,1,1
170203,石川県,加賀市,36.302624,136.314627,1,1
170204,石川県,かほく市,36.719826,136.706727,1,1
170206,石川県,能美市,36.446941,136.554242,1,1
170209,石川県,津幡町,36.668693,136.728442,1,1
180105,福井県,あわら市,36.211353,136.229025,1,1
210101,岐阜県,高山市,36.146124,137.252173,1,1
210102,岐阜県,飛騨市,36.238124,137.186317,1,1
210104,岐阜県,白川村,36.270806,136.898478,1,1
