JMAcode,pref,city,lat,lng,rank,shindo
010101,北海道,石狩市,43.171384,141.315520,4,4
010102,北海道,当別町,43.223683,141.517072,4,4
010103,北海道,新篠津村,43.225424,141.649216,5,5弱
010201,北海道,札幌中央区,43.055460,141.340956,3,3
010202,北海道,札幌北区,43.090850,141.340831,4,4
010203,北海道,札幌東区,43.076069,141.363722,4,4
010204,北海道,札幌白石区,43.047687,141.405078,4,4
010205,北海道,札幌豊平区,43.031291,141.380106,4,4
010206,北海道,札幌南区,42.990031,141.353497,4,4
010207,北海道,札幌西区,43.074470,141.300889,3,3
010208,北海道,札幌厚別区,43.036408,141.474789,4,4
010209,北海道,札幌手稲区,43.121944,141.245632,4,4
010210,北海道,札幌清田区,42.999636,141.443830,4,4
010211,北海道,江別市,43.103745,141.536247,4,4
010301,北海道,千歳市,42.820958,141.650876,5,5弱
010302,北海道,恵庭市,42.882562,141.577815,4,4
010303,北海道,北広島市,42.985630,141.563543,4,4
010401,北海道,小樽市,43.190717,140.994662,3,3
010402,北海道,積丹町,43.298853,140.598193,2,2
010403,北海道,古平町,43.265360,140.638820,3,3
010404,北海道,仁木町,43.151691,140.766130,2,2
010404,北海道,余市町,43.195232,140.783467,3,3
010405,北海道,赤井川村,43.083490,140.813481,3,3
010501,北海道,ニセコ町,42.804705,140.687493,3,3
010502,北海道,真狩村,42.762971,140.803744,3,3
010503,北海道,留寿都村,42.737360,140.875591,4,4
010504,北海道,喜茂別町,42.795472,140.934500,3,3
010505,北海道,京極町,42.858208,140.884088,3,3
010506,北海道,倶知安町,42.901829,140.758698,3,3
010601,北海道,島牧村,42.700520,140.061460,2,2
010602,北海道,寿都町,42.790979,140.228980,2,2
010603,北海道,黒松内町,42.667864,140.307540,3,3
010604,北海道,蘭越町,42.809075,140.528312,3,3
010605,北海道,共和町,42.980398,140.611187,3,3
010606,北海道,岩内町,42.979785,140.514753,3,3
010607,北海道,泊村,43.063355,140.498859,2,2
010701,北海道,深川市,43.723260,142.053538,3,3
010702,北海道,妹背牛町,43.700112,141.961711,4,4
010703,北海道,秩父別町,43.767013,141.957958,4,4
010704,北海道,北竜町,43.731356,141.879022,3,3
010705,北海道,沼田町,43.806802,141.933272,3,3
010801,北海道,芦別市,43.518166,142.189436,3,3
010802,北海道,赤平市,43.558074,142.044211,3,3
010803,北海道,滝川市,43.557795,141.910190,3,3
010804,北海道,砂川市,43.494843,141.903465,3,3
010805,北海道,歌志内市,43.521353,142.034568,3,3
010806,北海道,奈井江町,43.425106,141.882788,4,4
010807,北海道,上砂川町,43.482608,141.984084,3,3
010808,北海道,浦臼町,43.430322,141.818837,3,3
010809,北海道,新十津川町,43.548547,141.877032,4,4
010810,北海道,雨竜町,43.643924,141.888990,3,3
