JMAcode,pref,city,lat,lng,rank,shindo
460301,鹿児島県,十島村,29.837598,129.868198,7,6弱
460601,鹿児島県,奄美市,28.377248,129.493741,2,2
460602,鹿児島県,大和村,28.358089,129.395263,1,1
460603,鹿児島県,宇検村,28.280731,129.297092,1,1
460604,鹿児島県,瀬戸内町,28.146402,129.314902,2,2
460605,鹿児島県,龍郷町,28.413297,129.589351,1,1
460606,鹿児島県,喜界町,28.316836,129.940032,1,1
460702,鹿児島県,天城町,27.811782,128.897702,1,1
460703,鹿児島県,伊仙町,27.673547,128.937795,1,1
