JMAcode,pref,city,lat,lng,rank,shindo
130119,東京都,板橋区,35.751165,139.709244,1,1
140136,神奈川県,綾瀬市,35.437175,139.426148,1,1
160201,富山県,高岡市,36.754096,137.025728,1,1
160204,富山県,小矢部市,36.675575,136.868622,1,1
170201,石川県,金沢市,36.561325,136.656205,1,1
170202,石川県,小松市,36.408351,136.445571,1,1
170203,石川県,加賀市,36.302624,136.314627,1,1
180101,福井県,福井市,36.064067,136.219494,2,2
180104,福井県,鯖江市,35.956553,136.184474,1,1
180105,福井県,あわら市,36.211353,136.229025,1,1
180106,福井県,越前市,35.903499,136.168780,1,1
180107,福井県,坂井市,36.166925,136.231457,2,2
180111,福井県,越前町,35.974208,136.129743,2,2
180201,福井県,敦賀市,35.645244,136.055441,2,2
180202,福井県,小浜市,35.495593,135.746644,2,2
180204,福井県,高浜町,35.490428,135.550990,2,2
180206,福井県,若狭町,35.461888,135.857211,2,2
190207,山梨県,笛吹市,35.647360,138.639786,2,2
200106,長野県,千曲市,36.533897,138.120108,1,1
200201,長野県,松本市,36.238038,137.972034,1,1
200203,長野県,岡谷市,36.067012,138.049326,1,1
200204,長野県,諏訪市,36.039142,138.114182,2,2
200205,長野県,小諸市,36.327419,138.425880,1,1
200207,長野県,塩尻市,36.114972,137.953449,1,1
200208,長野県,佐久市,36.248868,138.476831,1,1
200210,長野県,安曇野市,36.303951,137.905801,1,1
200218,長野県,御代田町,36.321183,138.508784,1,1
200222,長野県,下諏訪町,36.069559,138.080170,1,1
200223,長野県,富士見町,35.914621,138.240699,1,1
200224,長野県,原村,35.964456,138.217720,1,1
200227,長野県,山形村,36.168028,137.879155,1,1
200301,長野県,飯田市,35.514978,137.821447,2,2
200305,長野県,箕輪町,35.915134,137.981944,1,1
200306,長野県,飯島町,35.676737,137.919680,2,2
200307,長野県,南箕輪村,35.872900,137.975024,1,1
200309,長野県,宮田村,35.768904,137.944307,1,1
200310,長野県,松川町,35.597292,137.909567,1,1
200311,長野県,高森町,35.551497,137.878437,1,1
200328,長野県,木曽町,35.842431,137.691508,1,1
210202,岐阜県,中津川市,35.487548,137.500509,1,1
210301,岐阜県,岐阜市,35.423298,136.760654,1,1
210302,岐阜県,大垣市,35.359384,136.612750,2,2
210307,岐阜県,山県市,35.506109,136.781372,2,2
210308,岐阜県,瑞穂市,35.404094,136.649774,2,2
210309,岐阜県,本巣市,35.483047,136.678766,2,2
210311,岐阜県,海津市,35.220492,136.636662,3,3
210314,岐阜県,養老町,35.308333,136.561555,2,2
210317,岐阜県,神戸町,35.417368,136.608459,1,1
210318,岐阜県,輪之内町,35.285108,136.637435,2,2
210319,岐阜県,安八町,35.335391,136.665409,2,2
210320,岐阜県,揖斐川町,35.487309,136.568653,1,1
210322,岐阜県,池田町,35.442259,136.572926,1,1
210323,岐阜県,北方町,35.436948,136.685967,1,1
220105,静岡県,伊豆の国市,35.027735,138.928921,1,1
220111,静岡県,函南町,35.088973,138.953366,1,1
220201,静岡県,沼津市,35.095584,138.863493,1,1
220204,静岡県,富士市,35.161399,138.676273,1,1
220208,静岡県,長泉町,35.137670,138.897178,1,1
220302,静岡県,静岡駿河区,34.960745,138.404039,1,1
220303,静岡県,静岡清水区,35.015888,138.489528,1,1
220305,静岡県,焼津市,34.866920,138.323189,1,1
220307,静岡県,牧之原市,34.740043,138.224652,1,1
220401,静岡県,浜松中央区,34.710896,137.725940,1,1
220402,静岡県,浜松浜名区,34.793372,137.789925,1,1
220404,静岡県,磐田市,34.717904,137.851513,1,1
220405,静岡県,掛川市,34.768767,137.998168,1,1
220406,静岡県,袋井市,34.750174,137.924679,1,1
220407,静岡県,湖西市,34.718466,137.531626,1,1
220408,静岡県,御前崎市,34.637987,138.128127,1,1
220409,静岡県,菊川市,34.757746,138.084582,1,1
230201,愛知県,名古屋千種区,35.166486,136.946434,1,1
230206,愛知県,名古屋中区,35.168707,136.910251,1,1
