code,pref,city,lat,lng,shindo
032093,岩手県,一関市,38.934682,141.126800,1
041017,宮城県,仙台青葉区,38.269076,140.870403,2
041025,宮城県,仙台宮城野区,38.266139,140.909832,1
041033,宮城県,仙台若林区,38.244224,140.900756,1
041041,宮城県,仙台太白区,38.224348,140.877134,1
041050,宮城県,仙台泉区,38.326375,140.881629,1
042021,宮城県,石巻市,38.434480,141.302917,2
042030,宮城県,塩竈市,38.314362,141.022027,1
042064,宮城県,白石市,38.002478,140.619860,1
042072,宮城県,名取市,38.171520,140.891913,1
042081,宮城県,角田市,37.977063,140.781990,2
042111,宮城県,岩沼市,38.104292,140.870138,2
042129,宮城県,登米市,38.691923,141.187579,1
042137,宮城県,栗原市,38.730128,141.021333,1
042145,宮城県,東松島市,38.426168,141.210242,1
042153,宮城県,大崎市,38.577071,140.955350,2
043010,宮城県,蔵王町,38.098164,140.658416,2
043214,宮城県,大河原町,38.049493,140.730721,1
043222,宮城県,村田町,38.118539,140.722404,1
043231,宮城県,柴田町,38.056563,140.765790,1
043249,宮城県,川崎町,38.177737,140.643202,2
043419,宮城県,丸森町,37.911429,140.765528,1
043613,宮城県,亘理町,38.037460,140.852581,1
043621,宮城県,山元町,37.961668,140.877818,1
044016,宮城県,松島町,38.380128,141.067244,1
044041,宮城県,七ヶ浜町,38.304613,141.059186,1
044067,宮城県,利府町,38.330190,140.975722,1
044245,宮城県,大衡村,38.467226,140.880087,1
044440,宮城県,色麻町,38.548920,140.849878,1
044458,宮城県,加美町,38.571767,140.854751,1
045055,宮城県,美里町,38.544391,141.056695,1
062022,山形県,米沢市,37.922240,140.116781,1
062073,山形県,上山市,38.149562,140.267827,1
062081,山形県,村山市,38.483344,140.380372,1
062138,山形県,南陽市,38.055141,140.148375,1
063011,山形県,山辺町,38.289114,140.262178,1
063029,山形県,中山町,38.333114,140.283034,1
063215,山形県,河北町,38.426271,140.314284,1
063223,山形県,西川町,38.426499,140.147347,1
063410,山形県,大石田町,38.593863,140.372680,1
063819,山形県,高畠町,38.002736,140.189160,1
063827,山形県,川西町,38.004479,140.045790,1
064025,山形県,白鷹町,38.183095,140.098438,2
072010,福島県,福島市,37.760834,140.474728,1
072028,福島県,会津若松市,37.494761,139.929810,1
072036,福島県,郡山市,37.400529,140.359742,2
072044,福島県,いわき市,37.050420,140.887682,5強
072052,福島県,白河市,37.126362,140.210943,3
072079,福島県,須賀川市,37.292893,140.356975,2
072087,福島県,喜多方市,37.651355,139.874609,1
072095,福島県,相馬市,37.796624,140.919470,2
072109,福島県,二本松市,37.584858,140.431129,2
072117,福島県,田村市,37.440550,140.576422,2
072125,福島県,南相馬市,37.642161,140.957276,2
072133,福島県,伊達市,37.819138,140.562908,2
072141,福島県,本宮市,37.513131,140.393890,2
073016,福島県,桑折町,37.849537,140.516352,1
073032,福島県,国見町,37.837000,140.549185,1
073083,福島県,川俣町,37.663922,140.597333,2
073229,福島県,大玉村,37.534392,140.371189,1
073423,福島県,鏡石町,37.252830,140.343408,2
073440,福島県,天栄村,37.255606,140.247074,2
073628,福島県,下郷町,37.255580,139.872128,2
073644,福島県,檜枝岐村,37.024146,139.388945,1
073687,福島県,南会津町,37.200395,139.773199,1
074055,福島県,西会津町,37.588798,139.647495,1
074071,福島県,磐梯町,37.562115,139.988780,1
074080,福島県,猪苗代町,37.557768,140.104761,2
074471,福島県,会津美里町,37.459854,139.841178,1
074616,福島県,西郷村,37.141696,140.155364,2
074641,福島県,泉崎村,37.157052,140.295252,2
074659,福島県,中島村,37.148757,140.350204,2
074667,福島県,矢吹町,37.201278,140.338608,2
074811,福島県,棚倉町,37.029905,140.379648,3
074829,福島県,矢祭町,36.871403,140.424783,2
074837,福島県,塙町,36.957437,140.409573,2
074845,福島県,鮫川村,37.042327,140.509669,2
075019,福島県,石川町,37.144330,140.452351,2
075027,福島県,玉川村,37.210706,140.409038,2
075035,福島県,平田村,37.221786,140.575876,3
075043,福島県,浅川町,37.080995,140.412809,3
075051,福島県,古殿町,37.089093,140.555649,3
075213,福島県,三春町,37.441048,140.492569,1
075221,福島県,小野町,37.286823,140.626277,2
075418,福島県,広野町,37.214559,140.994458,3
075426,福島県,楢葉町,37.282500,140.993611,3
075434,福島県,富岡町,37.333056,141.016944,2
075442,福島県,川内村,37.337691,140.809345,2
075485,福島県,葛尾村,37.503611,140.764444,2
075612,福島県,新地町,37.876357,140.919599,1
075647,福島県,飯舘村,37.679190,140.735247,2
082015,茨城県,水戸市,36.366503,140.470996,3
082023,茨城県,日立市,36.599154,140.651469,3
082031,茨城県,土浦市,36.078297,140.204333,3
082040,茨城県,古河市,36.184645,139.702525,2
082058,茨城県,石岡市,36.190048,140.287556,2
082074,茨城県,結城市,36.305417,139.876641,2
082082,茨城県,龍ヶ崎市,35.911594,140.182264,2
082104,茨城県,下妻市,36.184514,139.967374,2
082112,茨城県,常総市,36.023494,139.993617,3
082121,茨城県,常陸太田市,36.538275,140.530950,2
082147,茨城県,高萩市,36.719147,140.716688,3
082155,茨城県,北茨城市,36.801911,140.750979,3
082163,茨城県,笠間市,36.345300,140.304354,3
082171,茨城県,取手市,35.911442,140.050468,2
082198,茨城県,牛久市,35.979375,140.149524,2
082201,茨城県,つくば市,36.083486,140.076642,2
082210,茨城県,ひたちなか市,36.396615,140.534676,3
082228,茨城県,鹿嶋市,35.965756,140.644813,2
082236,茨城県,潮来市,35.947123,140.555372,2
082244,茨城県,守谷市,35.951421,139.975391,2
082252,茨城県,常陸大宮市,36.542577,140.410890,3
082261,茨城県,那珂市,36.457469,140.486854,3
082279,茨城県,筑西市,36.307053,139.983123,3
082287,茨城県,坂東市,36.048738,139.888320,3
082295,茨城県,稲敷市,35.956492,140.323908,2
082309,茨城県,かすみがうら市,36.094529,140.330691,3
082317,茨城県,桜川市,36.327250,140.090433,3
082325,茨城県,神栖市,35.889966,140.664513,1
082333,茨城県,行方市,35.990416,140.489025,2
082341,茨城県,鉾田市,36.158640,140.516461,2
082350,茨城県,つくばみらい市,35.963024,140.037020,3
082368,茨城県,小美玉市,36.239345,140.352576,3
083020,茨城県,茨城町,36.286921,140.424514,2
083097,茨城県,大洗町,36.313443,140.574974,2
083101,茨城県,城里町,36.479363,140.376166,3
083411,茨城県,東海村,36.472880,140.566299,2
083640,茨城県,大子町,36.768096,140.355266,2
084425,茨城県,美浦村,36.004562,140.301914,2
084433,茨城県,阿見町,36.030795,140.214786,2
084476,茨城県,河内町,35.884794,140.244465,2
085219,茨城県,八千代町,36.181635,139.891129,2
085421,茨城県,五霞町,36.114113,139.745832,2
085464,茨城県,境町,36.108426,139.794961,2
085642,茨城県,利根町,35.857747,140.139148,1
092011,栃木県,宇都宮市,36.555112,139.882807,3
092029,栃木県,足利市,36.340151,139.449698,1
092037,栃木県,栃木市,36.382380,139.734081,2
092045,栃木県,佐野市,36.308578,139.593118,2
092053,栃木県,鹿沼市,36.567111,139.745013,2
092061,栃木県,日光市,36.719903,139.698216,2
092088,栃木県,小山市,36.314671,139.800131,2
092096,栃木県,真岡市,36.440419,140.013442,2
092100,栃木県,大田原市,36.871484,140.017419,3
092118,栃木県,矢板市,36.806686,139.924054,2
092134,栃木県,那須塩原市,36.961698,140.046066,2
092142,栃木県,さくら市,36.685301,139.966452,2
092151,栃木県,那須烏山市,36.656893,140.151426,2
092169,栃木県,下野市,36.387195,139.841967,2
093017,栃木県,上三川町,36.439296,139.909884,1
093424,栃木県,益子町,36.467353,140.093378,2
093432,栃木県,茂木町,36.532120,140.187565,2
093441,栃木県,市貝町,36.543308,140.102046,3
093459,栃木県,芳賀町,36.548323,140.058196,3
093611,栃木県,壬生町,36.427058,139.803932,1
093645,栃木県,野木町,36.233251,139.740750,1
093840,栃木県,塩谷町,36.777613,139.850570,1
093866,栃木県,高根沢町,36.630973,139.986684,2
094072,栃木県,那須町,37.019731,140.121017,3
094111,栃木県,那珂川町,36.761661,140.130072,2
102016,群馬県,前橋市,36.389482,139.063428,2
102024,群馬県,高崎市,36.321909,139.003294,2
102032,群馬県,桐生市,36.405491,139.330688,2
102041,群馬県,伊勢崎市,36.311364,139.196770,2
102059,群馬県,太田市,36.291122,139.375471,2
102067,群馬県,沼田市,36.646077,139.044161,1
102075,群馬県,館林市,36.244849,139.541968,2
102083,群馬県,渋川市,36.489471,139.000448,1
102105,群馬県,富岡市,36.259896,138.889932,1
102113,群馬県,安中市,36.326368,138.887324,2
102121,群馬県,みどり市,36.394838,139.281135,1
103446,群馬県,榛東村,36.438642,138.967118,1
103454,群馬県,吉岡町,36.447501,139.009766,1
103845,群馬県,甘楽町,36.242954,138.921682,1
104213,群馬県,中之条町,36.589893,138.840986,1
104281,群馬県,高山村,36.620887,138.943449,1
104299,群馬県,東吾妻町,36.571347,138.825472,1
104485,群馬県,昭和村,36.639753,139.065865,1
104647,群馬県,玉村町,36.304433,139.114913,2
105210,群馬県,板倉町,36.222952,139.610271,1
105228,群馬県,明和町,36.211300,139.534244,2
105236,群馬県,千代田町,36.217754,139.442435,2
105244,群馬県,大泉町,36.247902,139.404870,2
105252,群馬県,邑楽町,36.252394,139.462286,2
111015,埼玉県,さいたま西区,35.925302,139.579472,1
111023,埼玉県,さいたま北区,35.931522,139.620346,1
111031,埼玉県,さいたま大宮区,35.906487,139.628754,2
111040,埼玉県,さいたま見沼区,35.935206,139.654526,2
111058,埼玉県,さいたま中央区,35.884096,139.626102,2
111066,埼玉県,さいたま桜区,35.856140,139.610352,1
111074,埼玉県,さいたま浦和区,35.861651,139.645435,1
111082,埼玉県,さいたま南区,35.845253,139.645352,1
111091,埼玉県,さいたま緑区,35.871087,139.683970,2
111104,埼玉県,さいたま岩槻区,35.949861,139.694191,2
112020,埼玉県,熊谷市,36.147310,139.388645,2
112038,埼玉県,川口市,35.807738,139.724171,1
112062,埼玉県,行田市,36.138949,139.455643,2
112071,埼玉県,秩父市,35.992055,139.084817,1
112101,埼玉県,加須市,36.131438,139.601719,2
112119,埼玉県,本庄市,36.243568,139.190393,2
112127,埼玉県,東松山市,36.042126,139.399959,1
112143,埼玉県,春日部市,35.975198,139.752301,2
112151,埼玉県,狭山市,35.852942,139.412213,1
112160,埼玉県,羽生市,36.172626,139.548465,1
112178,埼玉県,鴻巣市,36.065758,139.522169,2
112186,埼玉県,深谷市,36.197444,139.281464,2
112194,埼玉県,上尾市,35.977381,139.593206,1
112216,埼玉県,草加市,35.825355,139.805402,2
112224,埼玉県,越谷市,35.891084,139.790938,2
112232,埼玉県,蕨市,35.825634,139.679708,1
112241,埼玉県,戸田市,35.817616,139.677892,1
112275,埼玉県,朝霞市,35.797252,139.593916,1
112283,埼玉県,志木市,35.836750,139.580319,1
112313,埼玉県,桶川市,36.005779,139.542531,1
112321,埼玉県,久喜市,36.061995,139.666838,2
112330,埼玉県,北本市,36.026768,139.530211,1
112348,埼玉県,八潮市,35.822536,139.839175,2
112356,埼玉県,富士見市,35.856759,139.549074,1
112372,埼玉県,三郷市,35.830149,139.872275,1
112381,埼玉県,蓮田市,35.994307,139.662106,1
112399,埼玉県,坂戸市,35.957170,139.402905,1
112402,埼玉県,幸手市,36.078072,139.725861,2
112411,埼玉県,鶴ヶ島市,35.934515,139.393098,1
112437,埼玉県,吉川市,35.891152,139.841375,2
112461,埼玉県,白岡市,36.019026,139.676925,2
113018,埼玉県,伊奈町,36.000112,139.624185,1
113247,埼玉県,三芳町,35.828367,139.526432,1
113263,埼玉県,毛呂山町,35.941501,139.316067,1
113417,埼玉県,滑川町,36.065987,139.360917,1
113425,埼玉県,嵐山町,36.056655,139.320542,1
113468,埼玉県,川島町,35.982014,139.481518,1
113476,埼玉県,吉見町,36.039853,139.453728,1
113638,埼玉県,長瀞町,36.114803,139.109717,1
113816,埼玉県,美里町,36.177104,139.181410,1
113832,埼玉県,神川町,36.213876,139.101776,1
113859,埼玉県,上里町,36.251607,139.144826,1
114421,埼玉県,宮代町,36.022682,139.722885,3
114642,埼玉県,杉戸町,36.025765,139.736709,2
114651,埼玉県,松伏町,35.925774,139.815178,2
121011,千葉県,千葉中央区,35.608932,140.124636,1
121029,千葉県,千葉花見川区,35.662977,140.069167,1
121037,千葉県,千葉稲毛区,35.636212,140.107083,1
121045,千葉県,千葉若葉区,35.633988,140.155661,1
121053,千葉県,千葉緑区,35.560459,140.176164,1
121061,千葉県,千葉美浜区,35.640485,140.063040,1
122025,千葉県,銚子市,35.734681,140.826641,1
122033,千葉県,市川市,35.721912,139.931010,1
122084,千葉県,野田市,35.955192,139.874764,2
122114,千葉県,成田市,35.776608,140.318781,2
122122,千葉県,佐倉市,35.723486,140.223964,1
122131,千葉県,東金市,35.559944,140.366092,1
122157,千葉県,旭市,35.720434,140.646469,1
122173,千葉県,柏市,35.867612,139.975850,2
122190,千葉県,市原市,35.497838,140.115665,1
122203,千葉県,流山市,35.856310,139.902660,1
122220,千葉県,我孫子市,35.864123,140.028225,1
122246,千葉県,鎌ケ谷市,35.776750,140.000790,1
122301,千葉県,八街市,35.665917,140.317952,1
122319,千葉県,印西市,35.832348,140.145815,1
122327,千葉県,白井市,35.791500,140.056372,1
122335,千葉県,富里市,35.726808,140.343058,1
122360,千葉県,香取市,35.897735,140.499268,2
122378,千葉県,山武市,35.602964,140.413506,1
123293,千葉県,栄町,35.840784,140.243831,1
123421,千葉県,神崎町,35.901602,140.405285,1
123471,千葉県,多古町,35.735434,140.467728,1
124095,千葉県,芝山町,35.693056,140.414194,1
131016,東京都,千代田区,35.694003,139.753595,1
131024,東京都,中央区,35.670651,139.771861,1
131032,東京都,港区,35.658068,139.751599,1
131041,東京都,新宿区,35.693840,139.703549,1
131059,東京都,文京区,35.708068,139.752167,1
131067,東京都,台東区,35.712607,139.779996,1
131075,東京都,墨田区,35.710722,139.801497,1
131083,東京都,江東区,35.672854,139.817410,1
131091,東京都,品川区,35.609226,139.730186,1
131105,東京都,目黒区,35.641463,139.698171,1
131113,東京都,大田区,35.561257,139.716051,1
131121,東京都,世田谷区,35.646572,139.653247,1
131130,東京都,渋谷区,35.661777,139.704051,1
131148,東京都,中野区,35.707399,139.663835,1
131156,東京都,杉並区,35.699566,139.636438,1
131164,東京都,豊島区,35.726118,139.716605,1
131172,東京都,北区,35.752804,139.733481,1
131181,東京都,荒川区,35.736080,139.783369,2
131199,東京都,板橋区,35.751165,139.709244,1
131211,東京都,足立区,35.775664,139.804479,2
131229,東京都,葛飾区,35.743575,139.847180,1
131237,東京都,江戸川区,35.706657,139.868427,1
132039,東京都,武蔵野市,35.717784,139.566260,1
132047,東京都,三鷹市,35.683513,139.559584,1
132098,東京都,町田市,35.546631,139.438619,1
132209,東京都,東大和市,35.745369,139.426593,1
132292,東京都,西東京市,35.725496,139.538156,1
141020,神奈川県,横浜神奈川区,35.476901,139.629431,2
141038,神奈川県,横浜西区,35.453623,139.616960,1
141046,神奈川県,横浜中区,35.444699,139.642178,2
141054,神奈川県,横浜南区,35.431462,139.608837,1
141062,神奈川県,横浜保土ケ谷区,35.459953,139.595979,1
141097,神奈川県,横浜港北区,35.519083,139.633024,2
141119,神奈川県,横浜港南区,35.400780,139.591167,1
141135,神奈川県,横浜緑区,35.512396,139.538006,1
141143,神奈川県,横浜瀬谷区,35.466026,139.498860,1
141313,神奈川県,川崎川崎区,35.529667,139.703848,1
141321,神奈川県,川崎幸区,35.544293,139.686772,1
141330,神奈川県,川崎中原区,35.576371,139.655709,1
141364,神奈川県,川崎宮前区,35.589192,139.578469,1
142077,神奈川県,茅ヶ崎市,35.333860,139.404716,1
142182,神奈川県,綾瀬市,35.437175,139.426148,1
151050,新潟県,新潟秋葉区,37.788506,139.114631,1
151068,新潟県,新潟南区,37.765785,139.019127,1
151076,新潟県,新潟西区,37.874223,138.971940,1
152021,新潟県,長岡市,37.446265,138.851277,1
152048,新潟県,三条市,37.636768,138.961689,1
152064,新潟県,新発田市,37.950886,139.327892,1
152099,新潟県,加茂市,37.666275,139.040198,1
152111,新潟県,見附市,37.531604,138.912825,1
152137,新潟県,燕市,37.673152,138.882230,1
152226,新潟県,上越市,37.147848,138.236080,1
152234,新潟県,阿賀野市,37.834501,139.225983,1
152269,新潟県,南魚沼市,37.161428,138.925448,2
152277,新潟県,胎内市,38.059711,139.410342,1
153427,新潟県,弥彦村,37.691066,138.855249,1
153613,新潟県,田上町,37.698826,139.057982,1
153851,新潟県,阿賀町,37.675485,139.458780,1
155047,新潟県,刈羽村,37.422359,138.622442,1
202177,長野県,佐久市,36.248868,138.476831,1
203050,長野県,南牧村,36.020856,138.492091,1
203211,長野県,軽井沢町,36.348290,138.596955,1
203238,長野県,御代田町,36.321183,138.508784,1
