JMAcode,pref,city,lat,lng,rank,shindo
011101,北海道,函館市,41.768793,140.728810,1,1
011102,北海道,北斗市,41.824060,140.652903,1,1
011203,北海道,知内町,41.598356,140.418963,1,1
011302,北海道,上ノ国町,41.801082,140.121348,1,1
011303,北海道,厚沢部町,41.920901,140.225472,1,1
011801,北海道,新冠町,42.362406,142.318332,1,1
011802,北海道,新ひだか町,42.341281,142.368591,1,1
020101,青森県,青森市,40.822072,140.747365,2,2
020102,青森県,五所川原市,40.808002,140.440090,1,1
020103,青森県,つがる市,40.808639,140.380059,2,2
020104,青森県,平内町,40.926031,140.955920,2,2
020105,青森県,今別町,41.181757,140.481654,1,1
020106,青森県,蓬田村,40.971714,140.655966,1,1
020107,青森県,外ヶ浜町,41.043159,140.632296,2,2
020108,青森県,板柳町,40.695894,140.457324,2,2
020109,青森県,鶴田町,40.758605,140.428382,2,2
020110,青森県,中泊町,40.965179,140.439840,1,1
020201,青森県,弘前市,40.603124,140.463922,1,1
020202,青森県,黒石市,40.642632,140.594645,1,1
020203,青森県,平川市,40.584011,140.566478,2,2
020204,青森県,鰺ヶ沢町,40.779913,140.208695,1,1
020205,青森県,深浦町,40.647895,139.927375,1,1
020206,青森県,西目屋村,40.576709,140.296288,1,1
020207,青森県,藤崎町,40.656069,140.502811,2,2
020208,青森県,大鰐町,40.518188,140.567828,1,1
020209,青森県,田舎館村,40.631252,140.550116,2,2
020301,青森県,八戸市,40.512284,141.488399,3,3
020302,青森県,十和田市,40.612703,141.205908,2,2
020303,青森県,三沢市,40.683134,141.368976,2,2
020304,青森県,野辺地町,40.864469,141.128757,2,2
020305,青森県,七戸町,40.697416,141.151021,3,3
020306,青森県,六戸町,40.609521,141.324949,3,3
020307,青森県,横浜町,41.083147,141.247793,2,2
020308,青森県,東北町,40.727876,141.257882,3,3
020309,青森県,六ヶ所村,40.967344,141.374552,2,2
020310,青森県,おいらせ町,40.599107,141.397797,3,3
020311,青森県,三戸町,40.378407,141.258745,2,2
020312,青森県,五戸町,40.531225,141.307790,3,3
020313,青森県,田子町,40.339962,141.152050,2,2
020314,青森県,南部町,40.466593,141.381986,3,3
020315,青森県,階上町,40.452489,141.620851,3,3
020316,青森県,新郷村,40.465626,141.173464,2,2
020401,青森県,むつ市,41.292746,141.183476,2,2
020402,青森県,大間町,41.526771,140.907438,2,2
020403,青森県,東通村,41.277787,141.328936,2,2
020404,青森県,風間浦村,41.487574,140.995729,1,1
020405,青森県,佐井村,41.429706,140.859129,1,1
030101,岩手県,宮古市,39.641420,141.957140,3,3
030102,岩手県,久慈市,40.190524,141.775583,3,3
030103,岩手県,山田町,39.467662,141.948950,3,3
030104,岩手県,岩泉町,39.843042,141.796303,3,3
030105,岩手県,田野畑村,39.930450,141.888868,3,3
030106,岩手県,普代村,40.005167,141.885908,4,4
030107,岩手県,野田村,40.110266,141.817668,4,4
030108,岩手県,洋野町,40.284263,141.624833,3,3
030201,岩手県,大船渡市,39.081901,141.708530,3,3
030202,岩手県,陸前高田市,39.027661,141.625495,4,4
030203,岩手県,釜石市,39.275818,141.885677,3,3
030204,岩手県,住田町,39.142230,141.575047,3,3
030205,岩手県,大槌町,39.358231,141.899422,4,4
030301,岩手県,盛岡市,39.702053,141.154484,4,4
030302,岩手県,二戸市,40.271213,141.304817,4,4
030303,岩手県,八幡平市,39.956477,141.071292,3,3
030304,岩手県,滝沢市,39.734684,141.077095,3,3
030305,岩手県,雫石町,39.696288,140.975776,3,3
030306,岩手県,葛巻町,40.039896,141.436465,3,3
030308,岩手県,紫波町,39.554568,141.155659,3,3
030309,岩手県,矢巾町,39.605981,141.142889,4,4
030310,岩手県,軽米町,40.326746,141.460633,3,3
030311,岩手県,九戸村,40.211392,141.418985,3,3
030312,岩手県,一戸町,40.213011,141.295475,3,3
030401,岩手県,花巻市,39.388578,141.116645,4,4
030403,岩手県,遠野市,39.327838,141.533303,3,3
030404,岩手県,一関市,38.934682,141.126800,4,4
030405,岩手県,奥州市,39.144529,141.139141,4,4
030407,岩手県,金ケ崎町,39.195742,141.116324,3,3
030408,岩手県,平泉町,38.986662,141.113822,4,4
040101,宮城県,気仙沼市,38.908078,141.569992,4,4
040102,宮城県,登米市,38.691923,141.187579,6,5強
040103,宮城県,栗原市,38.730128,141.021333,5,5弱
040104,宮城県,大崎市,38.577071,140.955350,7,6弱
040105,宮城県,色麻町,38.548920,140.849878,4,4
040106,宮城県,加美町,38.571767,140.854751,4,4
040107,宮城県,涌谷町,38.539646,141.128075,7,6弱
040108,宮城県,美里町,38.544391,141.056695,8,6強
040109,宮城県,南三陸町,38.679771,141.460514,4,4
040201,宮城県,仙台青葉区,38.269076,140.870403,4,4
040202,宮城県,仙台宮城野区,38.266139,140.909832,4,4
040203,宮城県,仙台若林区,38.244224,140.900756,4,4
040204,宮城県,仙台太白区,38.224348,140.877134,3,3
040205,宮城県,仙台泉区,38.326375,140.881629,5,5弱
040206,宮城県,石巻市,38.434480,141.302917,7,6弱
040208,宮城県,多賀城市,38.293839,141.004225,4,4
040209,宮城県,東松島市,38.426168,141.210242,8,6強
040210,宮城県,富谷市,38.400245, 140.89531,4,4
040211,宮城県,松島町,38.380128,141.067244,4,4
040212,宮城県,七ヶ浜町,38.304613,141.059186,4,4
040213,宮城県,利府町,38.330190,140.975722,4,4
040215,宮城県,大郷町,38.424260,141.004445,5,5弱
040216,宮城県,大衡村,38.467226,140.880087,4,4
040217,宮城県,女川町,38.449733,141.443088,4,4
040302,宮城県,名取市,38.171520,140.891913,4,4
040305,宮城県,蔵王町,38.098164,140.658416,3,3
040306,宮城県,七ヶ宿町,37.993063,140.441612,2,2
040307,宮城県,大河原町,38.049493,140.730721,4,4
040308,宮城県,村田町,38.118539,140.722404,3,3
040309,宮城県,柴田町,38.056563,140.765790,3,3
040310,宮城県,川崎町,38.177737,140.643202,4,4
040311,宮城県,丸森町,37.911429,140.765528,3,3
040312,宮城県,亘理町,38.037460,140.852581,4,4
040313,宮城県,山元町,37.961668,140.877818,3,3
050101,秋田県,能代市,40.212151,140.026624,3,3
050102,秋田県,男鹿市,39.886818,139.847558,2,2
050103,秋田県,潟上市,39.857288,140.013054,2,2
050104,秋田県,藤里町,40.278360,140.261704,2,2
050105,秋田県,三種町,40.101626,140.004748,3,3
050106,秋田県,八峰町,40.318724,140.038648,2,2
050107,秋田県,五城目町,39.943892,140.111306,2,2
050108,秋田県,八郎潟町,39.949382,140.073318,2,2
050109,秋田県,井川町,39.914169,140.081294,3,3
050110,秋田県,大潟村,40.017792,139.960067,2,2
050201,秋田県,秋田市,39.720008,140.102564,3,3
050202,秋田県,由利本荘市,39.385877,140.048791,3,3
050203,秋田県,にかほ市,39.203012,139.907713,3,3
050301,秋田県,大館市,40.271405,140.564285,2,2
050302,秋田県,鹿角市,40.215778,140.788436,2,2
050303,秋田県,北秋田市,40.226054,140.370742,2,2
050304,秋田県,小坂町,40.333092,140.736081,1,1
050305,秋田県,上小阿仁村,40.063266,140.295767,2,2
050401,秋田県,横手市,39.313782,140.566649,2,2
050402,秋田県,湯沢市,39.164304,140.495663,2,2
050403,秋田県,大仙市,39.453088,140.475448,4,4
050404,秋田県,仙北市,39.700069,140.730588,3,3
050405,秋田県,美郷町,39.461905,140.581299,3,3
050406,秋田県,羽後町,39.199323,140.412923,2,2
050407,秋田県,東成瀬村,39.179183,140.648890,2,2
060101,山形県,鶴岡市,38.727197,139.826731,3,3
060102,山形県,酒田市,38.914433,139.836515,3,3
060103,山形県,三川町,38.794487,139.849696,3,3
060104,山形県,庄内町,38.849915,139.904745,3,3
060105,山形県,遊佐町,39.014616,139.907352,3,3
060201,山形県,新庄市,38.765015,140.301608,4,4
060202,山形県,金山町,38.883357,140.339456,2,2
060203,山形県,最上町,38.758387,140.519354,4,4
060204,山形県,舟形町,38.691444,140.319776,3,3
060205,山形県,真室川町,38.857859,140.252301,3,3
060206,山形県,大蔵村,38.704182,140.230374,3,3
060207,山形県,鮭川村,38.796457,140.222052,3,3
060208,山形県,戸沢村,38.737473,140.143804,3,3
060301,山形県,山形市,38.255439,140.339602,3,3
060302,山形県,寒河江市,38.380964,140.275967,3,3
060303,山形県,上山市,38.149562,140.267827,3,3
060304,山形県,村山市,38.483344,140.380372,4,4
060305,山形県,天童市,38.362265,140.377886,3,3
060308,山形県,山辺町,38.289114,140.262178,3,3
060309,山形県,中山町,38.333114,140.283034,4,4
060310,山形県,河北町,38.426271,140.314284,3,3
060311,山形県,西川町,38.426499,140.147347,3,3
060312,山形県,朝日町,38.299248,140.145926,3,3
060313,山形県,大江町,38.380648,140.207013,3,3
060314,山形県,大石田町,38.593863,140.372680,3,3
060401,山形県,米沢市,37.922240,140.116781,2,2
060402,山形県,長井市,38.107494,140.040524,2,2
060403,山形県,南陽市,38.055141,140.148375,3,3
060404,山形県,高畠町,38.002736,140.189160,3,3
060405,山形県,川西町,38.004479,140.045790,3,3
060406,山形県,小国町,38.061627,139.743364,3,3
060407,山形県,白鷹町,38.183095,140.098438,3,3
060408,山形県,飯豊町,38.045827,139.987529,2,2
070101,福島県,福島市,37.760834,140.474728,3,3
070102,福島県,郡山市,37.400529,140.359742,3,3
070103,福島県,白河市,37.126362,140.210943,3,3
070104,福島県,須賀川市,37.292893,140.356975,3,3
070106,福島県,田村市,37.440550,140.576422,3,3
070107,福島県,伊達市,37.819138,140.562908,3,3
070109,福島県,桑折町,37.849537,140.516352,3,3
070112,福島県,大玉村,37.534392,140.371189,2,2
070113,福島県,鏡石町,37.252830,140.343408,3,3
070114,福島県,天栄村,37.255606,140.247074,3,3
070115,福島県,西郷村,37.141696,140.155364,3,3
070116,福島県,泉崎村,37.157052,140.295252,3,3
070118,福島県,矢吹町,37.201278,140.338608,3,3
070119,福島県,棚倉町,37.029905,140.379648,3,3
070201,福島県,いわき市,37.050420,140.887682,4,4
070202,福島県,相馬市,37.796624,140.919470,3,3
070203,福島県,南相馬市,37.642161,140.957276,3,3
070204,福島県,広野町,37.214559,140.994458,3,3
070207,福島県,川内村,37.337691,140.809345,3,3
070210,福島県,浪江町,37.483333,141.000000,3,3
070212,福島県,新地町,37.876357,140.919599,4,4
070213,福島県,飯舘村,37.679190,140.735247,3,3
070301,福島県,会津若松市,37.494761,139.929810,2,2
070302,福島県,喜多方市,37.651355,139.874609,2,2
070306,福島県,南会津町,37.200395,139.773199,2,2
070307,福島県,北塩原村,37.655715,139.937374,2,2
070308,福島県,西会津町,37.588798,139.647495,2,2
070309,福島県,磐梯町,37.562115,139.988780,2,2
070310,福島県,猪苗代町,37.557768,140.104761,2,2
070312,福島県,湯川村,37.565299,139.886778,2,2
070313,福島県,柳津町,37.526160,139.719542,1,1
070317,福島県,会津美里町,37.459854,139.841178,2,2
080101,茨城県,水戸市,36.366503,140.470996,3,3
080102,茨城県,日立市,36.599154,140.651469,3,3
080103,茨城県,常陸太田市,36.538275,140.530950,3,3
080104,茨城県,高萩市,36.719147,140.716688,3,3
080105,茨城県,北茨城市,36.801911,140.750979,3,3
080106,茨城県,笠間市,36.345300,140.304354,3,3
080107,茨城県,ひたちなか市,36.396615,140.534676,2,2
080108,茨城県,常陸大宮市,36.542577,140.410890,3,3
080109,茨城県,那珂市,36.457469,140.486854,3,3
080110,茨城県,小美玉市,36.239345,140.352576,3,3
080111,茨城県,茨城町,36.286921,140.424514,3,3
080112,茨城県,大洗町,36.313443,140.574974,2,2
080113,茨城県,城里町,36.479363,140.376166,3,3
080114,茨城県,東海村,36.472880,140.566299,2,2
080115,茨城県,大子町,36.768096,140.355266,2,2
080201,茨城県,土浦市,36.078297,140.204333,3,3
080202,茨城県,古河市,36.184645,139.702525,2,2
080203,茨城県,石岡市,36.190048,140.287556,3,3
080204,茨城県,結城市,36.305417,139.876641,2,2
080205,茨城県,龍ケ崎市,35.911594,140.182264,2,2
080206,茨城県,下妻市,36.184514,139.967374,2,2
080207,茨城県,常総市,36.023494,139.993617,3,3
080208,茨城県,取手市,35.911442,140.050468,3,3
080209,茨城県,牛久市,35.979375,140.149524,2,2
080210,茨城県,つくば市,36.083486,140.076642,3,3
080211,茨城県,鹿嶋市,35.965756,140.644813,2,2
080212,茨城県,潮来市,35.947123,140.555372,2,2
080213,茨城県,守谷市,35.951421,139.975391,2,2
080214,茨城県,筑西市,36.307053,139.983123,3,3
080215,茨城県,坂東市,36.048738,139.888320,2,2
080216,茨城県,稲敷市,35.956492,140.323908,2,2
080217,茨城県,かすみがうら市,36.094529,140.330691,2,2
080218,茨城県,桜川市,36.327250,140.090433,2,2
080219,茨城県,神栖市,35.889966,140.664513,2,2
080220,茨城県,行方市,35.990416,140.489025,2,2
080221,茨城県,鉾田市,36.158640,140.516461,2,2
080222,茨城県,つくばみらい市,35.963024,140.037020,3,3
080223,茨城県,美浦村,36.004562,140.301914,2,2
080224,茨城県,阿見町,36.030795,140.214786,2,2
080225,茨城県,河内町,35.884794,140.244465,2,2
080226,茨城県,八千代町,36.181635,139.891129,2,2
080227,茨城県,五霞町,36.114113,139.745832,2,2
080228,茨城県,境町,36.108426,139.794961,2,2
080229,茨城県,利根町,35.857747,140.139148,2,2
