JMAcode,pref,city,lat,lng,rank,shindo
010101,北海道,石狩市,43.171384,141.315520,1,1
010102,北海道,当別町,43.223683,141.517072,1,1
010103,北海道,新篠津村,43.225424,141.649216,2,2
010202,北海道,札幌北区,43.090850,141.340831,1,1
010203,北海道,札幌東区,43.076069,141.363722,2,2
010204,北海道,札幌白石区,43.047687,141.405078,1,1
010206,北海道,札幌南区,42.990031,141.353497,1,1
010208,北海道,札幌厚別区,43.036408,141.474789,1,1
010209,北海道,札幌手稲区,43.121944,141.245632,1,1
010210,北海道,札幌清田区,42.999636,141.443830,1,1
010211,北海道,江別市,43.103745,141.536247,1,1
010301,北海道,千歳市,42.820958,141.650876,1,1
010302,北海道,恵庭市,42.882562,141.577815,1,1
010401,北海道,小樽市,43.190717,140.994662,1,1
010801,北海道,芦別市,43.518166,142.189436,1,1
010902,北海道,岩見沢市,43.196206,141.775933,1,1
010903,北海道,美唄市,43.332881,141.853785,1,1
010904,北海道,三笠市,43.245435,141.875327,1,1
010905,北海道,南幌町,43.063727,141.650069,2,2
010906,北海道,由仁町,42.999605,141.790338,1,1
010907,北海道,長沼町,43.010353,141.695252,2,2
010909,北海道,月形町,43.338436,141.669451,1,1
011101,北海道,函館市,41.768793,140.728810,2,2
011102,北海道,北斗市,41.824060,140.652903,2,2
011103,北海道,七飯町,41.895720,140.694280,1,1
011105,北海道,森町,42.104795,140.576324,1,1
011203,北海道,知内町,41.598356,140.418963,2,2
011301,北海道,江差町,41.869156,140.127460,1,1
011302,北海道,上ノ国町,41.801082,140.121348,2,2
011303,北海道,厚沢部町,41.920901,140.225472,1,1
011501,北海道,伊達市,42.471851,140.864679,1,1
011503,北海道,壮瞥町,42.552283,140.886014,1,1
011601,北海道,室蘭市,42.315231,140.973799,1,1
011602,北海道,苫小牧市,42.634302,141.605372,1,1
011603,北海道,登別市,42.412760,141.106632,1,1
011604,北海道,白老町,42.551260,141.355955,1,1
011605,北海道,厚真町,42.723662,141.877935,1,1
011606,北海道,安平町,42.762815,141.818017,2,2
011607,北海道,むかわ町,42.574807,141.926750,2,2
011701,北海道,日高町,42.480290,142.074398,1,1
011702,北海道,平取町,42.585081,142.128523,1,1
011801,北海道,新冠町,42.362406,142.318332,2,2
011802,北海道,新ひだか町,42.341281,142.368591,1,1
011901,北海道,浦河町,42.168516,142.768120,2,2
011902,北海道,様似町,42.127853,142.933550,1,1
011903,北海道,えりも町,42.016280,143.148443,1,1
012201,北海道,富良野市,43.342140,142.383225,1,1
012804,北海道,斜里町,43.911513,144.670605,1,1
012901,北海道,北見市,43.804031,143.895876,1,1
013003,北海道,湧別町,44.151598,143.572894,1,1
013102,北海道,鹿追町,43.099102,142.989043,1,1
013103,北海道,新得町,43.079796,142.838737,1,1
013104,北海道,足寄町,43.244801,143.553905,1,1
013201,北海道,帯広市,42.923899,143.196103,2,2
013202,北海道,音更町,42.994143,143.197960,2,2
013203,北海道,士幌町,43.168027,143.241377,1,1
013204,北海道,清水町,43.011356,142.884540,2,2
013206,北海道,幕別町,42.908234,143.355969,1,1
