JMAcode,pref,city,lat,lng,rank,shindo
320201,島根県,浜田市,34.899303,132.079783,1,1
320202,島根県,益田市,34.674817,131.842862,1,1
320209,島根県,吉賀町,34.442094,131.867897,1,1
340304,広島県,広島西区,34.393972,132.434421,1,1
340314,広島県,江田島市,34.223002,132.443855,1,1
340315,広島県,府中町,34.392486,132.504580,1,1
350101,山口県,萩市,34.408116,131.399085,1,1
350104,山口県,阿武町,34.503335,131.471399,1,1
350203,山口県,柳井市,33.963833,132.101597,1,1
350204,山口県,周防大島町,33.927595,132.195234,1,1
350206,山口県,上関町,33.830976,132.110743,1,1
350207,山口県,田布施町,33.954703,132.041373,1,1
350208,山口県,平生町,33.937988,132.073052,1,1
350301,山口県,山口市,34.178496,131.473727,2,2
350302,山口県,防府市,34.051752,131.562690,2,2
350303,山口県,下松市,34.015030,131.870342,1,1
350401,山口県,下関市,33.957831,130.941459,1,1
350402,山口県,宇部市,33.951509,131.246786,1,1
350403,山口県,山陽小野田市,34.003064,131.181967,2,2
380304,愛媛県,西予市,33.362620,132.510992,1,1
380306,愛媛県,伊方町,33.488574,132.354012,2,2
390301,高知県,宿毛市,32.939009,132.726286,1,1
390310,高知県,黒潮町,33.024930,133.010920,1,1
400101,福岡県,福岡東区,33.617746,130.417391,1,1
400102,福岡県,福岡博多区,33.591358,130.414878,2,2
400103,福岡県,福岡中央区,33.589216,130.392813,2,2
400104,福岡県,福岡南区,33.561569,130.426428,2,2
400105,福岡県,福岡西区,33.582939,130.323119,2,2
400106,福岡県,福岡城南区,33.575686,130.369976,1,1
400107,福岡県,福岡早良区,33.581941,130.348436,2,2
400108,福岡県,筑紫野市,33.496342,130.515657,1,1
400109,福岡県,春日市,33.532571,130.470281,2,2
400110,福岡県,大野城市,33.536307,130.478641,1,1
400111,福岡県,宗像市,33.805431,130.540718,2,2
400112,福岡県,太宰府市,33.512799,130.523906,2,2
400113,福岡県,古賀市,33.728787,130.469987,2,2
400114,福岡県,福津市,33.786866,130.469886,1,1
400115,福岡県,糸島市,33.557320,130.195555,2,2
400116,福岡県,那珂川市,33.499600,130.422174,2,2
400117,福岡県,宇美町,33.567779,130.511112,1,1
400118,福岡県,篠栗町,33.623948,130.526256,1,1
400119,福岡県,志免町,33.591473,130.479743,1,1
400120,福岡県,須恵町,33.587268,130.507254,1,1
400121,福岡県,新宮町,33.715295,130.446566,1,1
400122,福岡県,久山町,33.646809,130.499834,1,1
400123,福岡県,粕屋町,33.610743,130.480523,1,1
400201,福岡県,北九州門司区,33.941138,130.959663,1,1
400202,福岡県,北九州若松区,33.905476,130.811143,1,1
400205,福岡県,北九州小倉南区,33.846525,130.884811,1,1
400206,福岡県,北九州八幡東区,33.863444,130.811863,1,1
400207,福岡県,北九州八幡西区,33.866465,130.764923,1,1
400208,福岡県,行橋市,33.728773,130.982967,2,2
400209,福岡県,豊前市,33.611511,131.130051,1,1
400210,福岡県,中間市,33.816650,130.709077,1,1
400211,福岡県,芦屋町,33.893801,130.663896,1,1
400214,福岡県,遠賀町,33.848151,130.668438,1,1
400215,福岡県,苅田町,33.775921,130.980510,2,2
400216,福岡県,みやこ町,33.699262,130.920401,2,2
400217,福岡県,吉富町,33.602643,131.175948,1,1
400218,福岡県,上毛町,33.578408,131.164113,2,2
400219,福岡県,築上町,33.656112,131.056063,1,1
400301,福岡県,直方市,33.744184,130.729633,1,1
400302,福岡県,飯塚市,33.645908,130.691511,2,2
400303,福岡県,田川市,33.638982,130.806298,1,1
400304,福岡県,宮若市,33.723568,130.666694,1,1
400305,福岡県,嘉麻市,33.560662,130.766817,2,2
400306,福岡県,小竹町,33.692500,130.712771,1,1
400307,福岡県,鞍手町,33.792218,130.673975,1,1
400308,福岡県,桂川町,33.578933,130.677904,2,2
400309,福岡県,香春町,33.667933,130.847335,1,1
400310,福岡県,添田町,33.571855,130.853955,2,2
400311,福岡県,糸田町,33.652789,130.779091,1,1
400312,福岡県,川崎町,33.599940,130.814937,2,2
400313,福岡県,大任町,33.612478,130.853714,2,2
400314,福岡県,赤村,33.616592,130.871035,2,2
400315,福岡県,福智町,33.683261,130.780121,1,1
400401,福岡県,大牟田市,33.030262,130.445985,4,4
400402,福岡県,久留米市,33.319287,130.508374,3,3
400403,福岡県,柳川市,33.163089,130.405753,4,4
400404,福岡県,八女市,33.211967,130.557908,3,3
400405,福岡県,筑後市,33.212447,130.502093,3,3
400406,福岡県,大川市,33.206594,130.383958,3,3
400407,福岡県,小郡市,33.396416,130.555438,2,2
400408,福岡県,うきは市,33.347297,130.754934,3,3
400409,福岡県,朝倉市,33.423413,130.665573,3,3
400410,福岡県,みやま市,33.152425,130.474720,4,4
400411,福岡県,筑前町,33.456977,130.595300,2,2
400412,福岡県,東峰村,33.464292,130.825892,2,2
400413,福岡県,大刀洗町,33.372372,130.622480,2,2
400414,福岡県,大木町,33.210469,130.439733,3,3
400415,福岡県,広川町,33.241553,130.551505,3,3
410101,佐賀県,唐津市,33.450174,129.968134,2,2
410102,佐賀県,伊万里市,33.264586,129.880269,2,2
410103,佐賀県,玄海町,33.472183,129.874698,2,2
410104,佐賀県,有田町,33.210563,129.849217,2,2
410201,佐賀県,佐賀市,33.263482,130.300858,3,3
410202,佐賀県,鳥栖市,33.377755,130.506258,2,2
410203,佐賀県,多久市,33.288510,130.110061,2,2
410204,佐賀県,武雄市,33.193749,130.019151,3,3
410205,佐賀県,鹿島市,33.103724,130.098769,2,2
410206,佐賀県,小城市,33.273665,130.216864,2,2
410207,佐賀県,嬉野市,33.128084,130.060114,2,2
410208,佐賀県,神埼市,33.310763,130.373060,3,3
410209,佐賀県,吉野ヶ里町,33.351679,130.398357,2,2
410210,佐賀県,基山町,33.426852,130.522813,2,2
410211,佐賀県,上峰町,33.319626,130.426134,3,3
410212,佐賀県,みやき町,33.324982,130.454698,3,3
410213,佐賀県,大町町,33.213754,130.116084,1,1
