code,pref,city,lat,lng,shindo
075418,福島県,広野町,37.214559,140.994458
075426,福島県,楢葉町,37.282500,140.993611
075434,福島県,富岡町,37.333056,141.016944
075442,福島県,川内村,37.337691,140.809345
075451,福島県,大熊町,37.404444,140.983611
075469,福島県,双葉町,37.449167,141.012500
075477,福島県,浪江町,37.483333,141.000000
075485,福島県,葛尾村,37.503611,140.764444
075612,福島県,新地町,37.876357,140.919599
075647,福島県,飯舘村,37.679190,140.735247
082015,茨城県,水戸市,36.366503,140.470996
082023,茨城県,日立市,36.599154,140.651469
082031,茨城県,土浦市,36.078297,140.204333
082040,茨城県,古河市,36.184645,139.702525
082058,茨城県,石岡市,36.190048,140.287556
082074,茨城県,結城市,36.305417,139.876641
082082,茨城県,龍ヶ崎市,35.911594,140.182264
082104,茨城県,下妻市,36.184514,139.967374
082112,茨城県,常総市,36.023494,139.993617
082121,茨城県,常陸太田市,36.538275,140.530950
082147,茨城県,高萩市,36.719147,140.716688
082155,茨城県,北茨城市,36.801911,140.750979
082163,茨城県,笠間市,36.345300,140.304354
082171,茨城県,取手市,35.911442,140.050468
082198,茨城県,牛久市,35.979375,140.149524
082201,茨城県,つくば市,36.083486,140.076642
082210,茨城県,ひたちなか市,36.396615,140.534676
082228,茨城県,鹿嶋市,35.965756,140.644813
082236,茨城県,潮来市,35.947123,140.555372
082244,茨城県,守谷市,35.951421,139.975391
082252,茨城県,常陸大宮市,36.542577,140.410890
082261,茨城県,那珂市,36.457469,140.486854
082279,茨城県,筑西市,36.307053,139.983123
082287,茨城県,坂東市,36.048738,139.888320
082295,茨城県,稲敷市,35.956492,140.323908
082309,茨城県,かすみがうら市,36.094529,140.330691
082317,茨城県,桜川市,36.327250,140.090433
082325,茨城県,神栖市,35.889966,140.664513
082333,茨城県,行方市,35.990416,140.489025
082341,茨城県,鉾田市,36.158640,140.516461
082350,茨城県,つくばみらい市,35.963024,140.037020
082368,茨城県,小美玉市,36.239345,140.352576
083020,茨城県,茨城町,36.286921,140.424514
083097,茨城県,大洗町,36.313443,140.574974
083101,茨城県,城里町,36.479363,140.376166
083411,茨城県,東海村,36.472880,140.566299
083640,茨城県,大子町,36.768096,140.355266
