JMAcode,pref,city,lat,lng,rank,shindo
010101,北海道,石狩市,43.171384,141.315520,4,4
010103,北海道,新篠津村,43.225424,141.649216,5,5弱
010201,北海道,札幌中央区,43.055460,141.340956,4,4
010204,北海道,札幌白石区,43.047687,141.405078,4,4
010211,北海道,江別市,43.103745,141.536247,4,4
010301,北海道,千歳市,42.820958,141.650876,4,4
010302,北海道,恵庭市,42.882562,141.577815,4,4
010401,北海道,小樽市,43.190717,140.994662,4,4
010402,北海道,積丹町,43.298853,140.598193,3,3
010403,北海道,古平町,43.265360,140.638820,3,3
010404,北海道,余市町,43.195232,140.783467,4,4
010502,北海道,真狩村,42.762971,140.803744,4,4
010503,北海道,留寿都村,42.737360,140.875591,3,3
010505,北海道,京極町,42.858208,140.884088,3,3
010506,北海道,倶知安町,42.901829,140.758698,4,4
010601,北海道,島牧村,42.700520,140.061460,2,2
010602,北海道,寿都町,42.790979,140.228980,2,2
010605,北海道,共和町,42.980398,140.611187,3,3
010606,北海道,岩内町,42.979785,140.514753,3,3
010607,北海道,泊村,43.063355,140.498859,3,3
010702,北海道,妹背牛町,43.700112,141.961711,4,4
010703,北海道,秩父別町,43.767013,141.957958,4,4
010704,北海道,北竜町,43.731356,141.879022,4,4
010801,北海道,芦別市,43.518166,142.189436,3,3
010802,北海道,赤平市,43.558074,142.044211,3,3
010803,北海道,滝川市,43.557795,141.910190,4,4
010804,北海道,砂川市,43.494843,141.903465,4,4
010805,北海道,歌志内市,43.521353,142.034568,3,3
010806,北海道,奈井江町,43.425106,141.882788,4,4
010807,北海道,上砂川町,43.482608,141.984084,3,3
010808,北海道,浦臼町,43.430322,141.818837,4,4
010809,北海道,新十津川町,43.548547,141.877032,4,4
010810,北海道,雨竜町,43.643924,141.888990,4,4
010901,北海道,夕張市,43.056734,141.973896,4,4
010902,北海道,岩見沢市,43.196206,141.775933,5,5弱
010903,北海道,美唄市,43.332881,141.853785,4,4
010904,北海道,三笠市,43.245435,141.875327,4,4
010905,北海道,南幌町,43.063727,141.650069,5,5弱
010907,北海道,長沼町,43.010353,141.695252,5,5弱
010908,北海道,栗山町,43.056309,141.784255,5,5弱
011001,北海道,八雲町,42.255999,140.265281,3,3
011101,北海道,函館市,41.768793,140.728810,4,4
011102,北海道,北斗市,41.824060,140.652903,4,4
011103,北海道,七飯町,41.895720,140.694280,3,3
011105,北海道,森町,42.104795,140.576324,4,4
011201,北海道,松前町,41.430037,140.110435,2,2
011203,北海道,知内町,41.598356,140.418963,4,4
011301,北海道,江差町,41.869156,140.127460,3,3
011302,北海道,上ノ国町,41.801082,140.121348,4,4
011303,北海道,厚沢部町,41.920901,140.225472,4,4
011304,北海道,乙部町,41.968501,140.135719,3,3
011306,北海道,せたな町,42.417161,139.882988,4,4
011401,北海道,奥尻町,42.172278,139.514008,2,2
011501,北海道,伊達市,42.471851,140.864679,4,4
011504,北海道,洞爺湖町,42.551269,140.764098,4,4
011601,北海道,室蘭市,42.315231,140.973799,3,3
