JMAcode,pref,city,lat,lng,rank,shindo
040108,宮城県,美里町,38.544391,141.056695,1,1
070102,福島県,郡山市,37.400529,140.359742,1,1
070105,福島県,二本松市,37.584858,140.431129,1,1
070106,福島県,田村市,37.440550,140.576422,1,1
070107,福島県,伊達市,37.819138,140.562908,1,1
070111,福島県,川俣町,37.663922,140.597333,1,1
070112,福島県,大玉村,37.534392,140.371189,1,1
070113,福島県,鏡石町,37.252830,140.343408,1,1
070119,福島県,棚倉町,37.029905,140.379648,1,1
070124,福島県,玉川村,37.210706,140.409038,1,1
070125,福島県,平田村,37.221786,140.575876,1,1
070126,福島県,浅川町,37.080995,140.412809,1,1
070129,福島県,小野町,37.286823,140.626277,1,1
070201,福島県,いわき市,37.050420,140.887682,1,1
070202,福島県,相馬市,37.796624,140.919470,1,1
070203,福島県,南相馬市,37.642161,140.957276,1,1
070204,福島県,広野町,37.214559,140.994458,1,1
070205,福島県,楢葉町,37.282500,140.993611,1,1
070207,福島県,川内村,37.337691,140.809345,1,1
070208,福島県,大熊町,37.404444,140.983611,1,1
070210,福島県,浪江町,37.483333,141.000000,1,1
070211,福島県,葛尾村,37.503611,140.764444,1,1
070212,福島県,新地町,37.876357,140.919599,1,1
070213,福島県,飯舘村,37.679190,140.735247,1,1
080104,茨城県,高萩市,36.719147,140.716688,1,1
080105,茨城県,北茨城市,36.801911,140.750979,1,1
080113,茨城県,城里町,36.479363,140.376166,1,1
080201,茨城県,土浦市,36.078297,140.204333,1,1
080203,茨城県,石岡市,36.190048,140.287556,1,1
080214,茨城県,筑西市,36.307053,139.983123,1,1
080215,茨城県,坂東市,36.048738,139.888320,1,1
080217,茨城県,かすみがうら市,36.094529,140.330691,1,1
100101,群馬県,沼田市,36.646077,139.044161,1,1
100102,群馬県,中之条町,36.589893,138.840986,3,3
100103,群馬県,長野原町,36.552446,138.637477,2,2
100104,群馬県,嬬恋村,36.516874,138.530182,1,1
100105,群馬県,草津町,36.620778,138.596053,2,2
100106,群馬県,高山村,36.620887,138.943449,1,1
100107,群馬県,東吾妻町,36.571347,138.825472,1,1
100108,群馬県,片品村,36.772469,139.225243,1,1
100110,群馬県,昭和村,36.639753,139.065865,1,1
100111,群馬県,みなかみ町,36.678700,138.999064,1,1
100201,群馬県,前橋市,36.389482,139.063428,1,1
100203,群馬県,桐生市,36.405491,139.330688,1,1
100204,群馬県,伊勢崎市,36.311364,139.196770,1,1
100207,群馬県,渋川市,36.489471,139.000448,1,1
100210,群馬県,安中市,36.326368,138.887324,1,1
110109,埼玉県,久喜市,36.061995,139.666838,1,1
110215,埼玉県,春日部市,35.975198,139.752301,1,1
110245,埼玉県,宮代町,36.022682,139.722885,1,1
150101,新潟県,糸魚川市,37.039028,137.862652,1,1
150102,新潟県,妙高市,37.025196,138.253473,2,2
150103,新潟県,上越市,37.147848,138.236080,3,3
150201,新潟県,長岡市,37.446265,138.851277,2,2
150202,新潟県,三条市,37.636768,138.961689,1,1
150203,新潟県,柏崎市,37.371900,138.558984,2,2
150204,新潟県,小千谷市,37.314339,138.795100,2,2
150205,新潟県,加茂市,37.666275,139.040198,1,1
150206,新潟県,十日町市,37.127582,138.755708,3,3
150207,新潟県,見附市,37.531604,138.912825,1,1
150208,新潟県,魚沼市,37.244124,138.924361,1,1
150209,新潟県,南魚沼市,37.161428,138.925448,3,3
150210,新潟県,田上町,37.698826,139.057982,1,1
150211,新潟県,出雲崎町,37.530707,138.709303,2,2
150212,新潟県,湯沢町,36.934025,138.817440,2,2
150213,新潟県,津南町,37.014274,138.652622,4,4
150214,新潟県,刈羽村,37.422359,138.622442,2,2
150301,新潟県,新潟北区,37.916243,139.218588,1,1
150303,新潟県,新潟中央区,37.916367,139.036326,1,1
150308,新潟県,新潟西蒲区,37.760464,138.889284,1,1
150311,新潟県,燕市,37.673152,138.882230,1,1
150313,新潟県,阿賀野市,37.834501,139.225983,1,1
150316,新潟県,弥彦村,37.691066,138.855249,1,1
150317,新潟県,阿賀町,37.675485,139.458780,1,1
150401,新潟県,佐渡市,38.018353,138.368082,1,1
160202,富山県,氷見市,36.855981,136.972849,1,1
170101,石川県,七尾市,37.043102,136.967518,1,1
170102,石川県,輪島市,37.390590,136.899196,1,1
170103,石川県,珠洲市,37.436347,137.260436,2,2
170109,石川県,能登町,37.353216,137.244521,1,1
200101,長野県,長野市,36.648550,138.194243,2,2
200102,長野県,須坂市,36.651097,138.307192,1,1
200103,長野県,中野市,36.742044,138.369450,2,2
200111,長野県,坂城町,36.461820,138.180106,1,1
200112,長野県,小布施町,36.697492,138.312037,1,1
200113,長野県,高山村,36.679768,138.363255,1,1
200114,長野県,山ノ内町,36.744634,138.412596,1,1
200115,長野県,木島平村,36.858406,138.406829,3,3
200116,長野県,野沢温泉村,36.922902,138.440641,3,3
200117,長野県,信濃町,36.806404,138.207113,2,2
200118,長野県,小川村,36.617271,137.974724,1,1
200119,長野県,飯綱町,36.763185,138.254809,2,2
200120,長野県,栄村,36.987514,138.577069,7,6弱
200202,長野県,上田市,36.401912,138.248889,1,1
200204,長野県,諏訪市,36.039142,138.114182,1,1
200217,長野県,軽井沢町,36.348290,138.596955,1,1
