code,pref,city,lat,lng,shindo
041017,宮城県,仙台青葉区,38.269076,140.870403,2
043231,宮城県,柴田町,38.056563,140.765790,1
043419,宮城県,丸森町,37.911429,140.765528,1
063011,山形県,山辺町,38.289114,140.262178,2
072010,福島県,福島市,37.760834,140.474728,2
072028,福島県,会津若松市,37.494761,139.929810,2
072036,福島県,郡山市,37.400529,140.359742,2
072044,福島県,いわき市,37.050420,140.887682,3
072052,福島県,白河市,37.126362,140.210943,3
072079,福島県,須賀川市,37.292893,140.356975,3
072087,福島県,喜多方市,37.651355,139.874609,2
072095,福島県,相馬市,37.796624,140.919470,2
072109,福島県,二本松市,37.584858,140.431129,3
072117,福島県,田村市,37.440550,140.576422,2
072125,福島県,南相馬市,37.642161,140.957276,2
072133,福島県,伊達市,37.819138,140.562908,2
072141,福島県,本宮市,37.513131,140.393890,3
073016,福島県,桑折町,37.849537,140.516352,2
073229,福島県,大玉村,37.534392,140.371189,2
073628,福島県,下郷町,37.255580,139.872128,2
073679,福島県,只見町,37.348801,139.316091,1
073687,福島県,南会津町,37.200395,139.773199,1
074021,福島県,北塩原村,37.655715,139.937374,2
074055,福島県,西会津町,37.588798,139.647495,1
074080,福島県,猪苗代町,37.557768,140.104761,3
074225,福島県,湯川村,37.565299,139.886778,3
074233,福島県,柳津町,37.526160,139.719542,2
074454,福島県,金山町,37.453851,139.524298,1
074471,福島県,会津美里町,37.459854,139.841178,2
074616,福島県,西郷村,37.141696,140.155364,3
074641,福島県,泉崎村,37.157052,140.295252,3
074667,福島県,矢吹町,37.201278,140.338608,3
074811,福島県,棚倉町,37.029905,140.379648,3
074829,福島県,矢祭町,36.871403,140.424783,2
074837,福島県,塙町,36.957437,140.409573,2
074845,福島県,鮫川村,37.042327,140.509669,1
075019,福島県,石川町,37.144330,140.452351,2
075035,福島県,平田村,37.221786,140.575876,3
075051,福島県,古殿町,37.089093,140.555649,3
075213,福島県,三春町,37.441048,140.492569,2
075221,福島県,小野町,37.286823,140.626277,2
075418,福島県,広野町,37.214559,140.994458,2
075426,福島県,楢葉町,37.282500,140.993611,2
075434,福島県,富岡町,37.333056,141.016944,2
075442,福島県,川内村,37.337691,140.809345,2
075451,福島県,大熊町,37.404444,140.983611,2
075477,福島県,浪江町,37.483333,141.000000,2
082023,茨城県,日立市,36.599154,140.651469,3
082040,茨城県,古河市,36.184645,139.702525,2
082058,茨城県,石岡市,36.190048,140.287556,2
082074,茨城県,結城市,36.305417,139.876641,2
082104,茨城県,下妻市,36.184514,139.967374,2
082121,茨城県,常陸太田市,36.538275,140.530950,2
082163,茨城県,笠間市,36.345300,140.304354,2
082171,茨城県,取手市,35.911442,140.050468,3
082198,茨城県,牛久市,35.979375,140.149524,2
082201,茨城県,つくば市,36.083486,140.076642
082210,茨城県,ひたちなか市,36.396615,140.534676,3
082236,茨城県,潮来市,35.947123,140.555372,2
082252,茨城県,常陸大宮市,36.542577,140.410890,3
082279,茨城県,筑西市,36.307053,139.983123,2
082287,茨城県,坂東市,36.048738,139.888320,2
082295,茨城県,稲敷市,35.956492,140.323908,3
082309,茨城県,かすみがうら市,36.094529,140.330691,3
082317,茨城県,桜川市,36.327250,140.090433,3
