JMAcode,pref,city,lat,lng,rank,shindo
160101,富山県,富山市,36.695952,137.213677,1,1
160103,富山県,滑川市,36.764378,137.341191,1,1
160201,富山県,高岡市,36.754096,137.025728,1,1
160204,富山県,小矢部市,36.675575,136.868622,1,1
160205,富山県,南砺市,36.557513,136.875336,1,1
160206,富山県,射水市,36.782455,137.079614,1,1
170102,石川県,輪島市,37.390590,136.899196,2,2
170109,石川県,能登町,37.353216,137.244521,2,2
170201,石川県,金沢市,36.561325,136.656205,1,1
170202,石川県,小松市,36.408351,136.445571,2,2
170203,石川県,加賀市,36.302624,136.314627,2,2
170205,石川県,白山市,36.514427,136.565892,1,1
170206,石川県,能美市,36.446941,136.554242,2,2
170209,石川県,津幡町,36.668693,136.728442,1,1
180101,福井県,福井市,36.064067,136.219494,2,2
180102,福井県,大野市,35.979814,136.487564,1,1
180103,福井県,勝山市,36.060945,136.500584,1,1
180104,福井県,鯖江市,35.956553,136.184474,1,1
180105,福井県,あわら市,36.211353,136.229025,2,2
180106,福井県,越前市,35.903499,136.168780,1,1
180107,福井県,坂井市,36.166925,136.231457,2,2
180108,福井県,永平寺町,36.092256,136.298706,1,1
180109,福井県,池田町,35.890472,136.343907,1,1
180110,福井県,南越前町,35.835164,136.194465,1,1
180111,福井県,越前町,35.974208,136.129743,2,2
180201,福井県,敦賀市,35.645244,136.055441,2,2
180202,福井県,小浜市,35.495593,135.746644,3,3
180203,福井県,美浜町,35.600530,135.940543,1,1
180204,福井県,高浜町,35.490428,135.550990,3,3
180205,福井県,おおい町,35.481166,135.617828,3,3
180206,福井県,若狭町,35.461888,135.857211,2,2
200204,長野県,諏訪市,36.039142,138.114182,2,2
200206,長野県,茅野市,35.995571,138.158893,1,1
200213,長野県,南牧村,36.020856,138.492091,1,1
200222,長野県,下諏訪町,36.069559,138.080170,1,1
200301,長野県,飯田市,35.514978,137.821447,2,2
200306,長野県,飯島町,35.676737,137.919680,1,1
200311,長野県,高森町,35.551497,137.878437,1,1
200312,長野県,阿南町,35.323640,137.816055,1,1
200314,長野県,平谷村,35.323236,137.630030,1,1
200318,長野県,天龍村,35.276227,137.854140,1,1
200319,長野県,泰阜村,35.377523,137.846015,1,1
200328,長野県,木曽町,35.842431,137.691508,1,1
210201,岐阜県,多治見市,35.332800,137.132077,1,1
210202,岐阜県,中津川市,35.487548,137.500509,1,1
210203,岐阜県,瑞浪市,35.361712,137.254587,1,1
210204,岐阜県,恵那市,35.449314,137.412808,1,1
210205,岐阜県,美濃加茂市,35.440242,137.015664,1,1
210206,岐阜県,土岐市,35.352500,137.183202,1,1
210207,岐阜県,可児市,35.426121,137.061011,1,1
210209,岐阜県,富加町,35.484883,136.979824,1,1
210210,岐阜県,川辺町,35.486579,137.070608,1,1
210301,岐阜県,岐阜市,35.423298,136.760654,2,2
210302,岐阜県,大垣市,35.359384,136.612750,2,2
210303,岐阜県,関市,35.495738,136.917842,1,1
210304,岐阜県,美濃市,35.544770,136.907540,1,1
210305,岐阜県,羽島市,35.319910,136.703349,2,2
210306,岐阜県,各務原市,35.398869,136.848264,1,1
210307,岐阜県,山県市,35.506109,136.781372,1,1
210308,岐阜県,瑞穂市,35.404094,136.649774,2,2
210309,岐阜県,本巣市,35.483047,136.678766,2,2
210311,岐阜県,海津市,35.220492,136.636662,2,2
210312,岐阜県,岐南町,35.389722,136.783317,2,2
210313,岐阜県,笠松町,35.367200,136.763167,2,2
210314,岐阜県,養老町,35.308333,136.561555,2,2
210315,岐阜県,垂井町,35.370254,136.527102,2,2
210316,岐阜県,関ケ原町,35.365517,136.466982,2,2
210317,岐阜県,神戸町,35.417368,136.608459,2,2
210318,岐阜県,輪之内町,35.285108,136.637435,2,2
210319,岐阜県,安八町,35.335391,136.665409,2,2
210320,岐阜県,揖斐川町,35.487309,136.568653,2,2
210321,岐阜県,大野町,35.470614,136.627552,2,2
210322,岐阜県,池田町,35.442259,136.572926,2,2
210323,岐阜県,北方町,35.436948,136.685967,2,2
220105,静岡県,伊豆の国市,35.027735,138.928921,1,1
220204,静岡県,富士市,35.161399,138.676273,1,1
220303,静岡県,静岡清水区,35.015888,138.489528,1,1
220306,静岡県,藤枝市,34.867367,138.257458,1,1
220307,静岡県,牧之原市,34.740043,138.224652,1,1
220401,静岡県,浜松中央区,34.710896,137.725940,1,1
220402,静岡県,浜松浜名区,34.793372,137.789925,2,2
220403,静岡県,浜松天竜区,34.872649,137.816265,1,1
220404,静岡県,磐田市,34.717904,137.851513,2,2
220405,静岡県,掛川市,34.768767,137.998168,1,1
220406,静岡県,袋井市,34.750174,137.924679,2,2
220407,静岡県,湖西市,34.718466,137.531626,2,2
220409,静岡県,菊川市,34.757746,138.084582,2,2
230101,愛知県,豊橋市,34.769200,137.391466,1,1
230102,愛知県,豊川市,34.826851,137.375542,1,1
230103,愛知県,蒲郡市,34.826500,137.219516,2,2
230104,愛知県,新城市,34.899229,137.498476,2,2
230105,愛知県,田原市,34.668806,137.264203,2,2
230201,愛知県,名古屋千種区,35.166486,136.946434,1,1
230202,愛知県,名古屋東区,35.179325,136.925993,1,1
230204,愛知県,名古屋西区,35.189117,136.890033,2,2
230205,愛知県,名古屋中村区,35.168747,136.873015,1,1
230206,愛知県,名古屋中区,35.168707,136.910251,1,1
230207,愛知県,名古屋昭和区,35.150199,136.934124,1,1
