date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/12,8:26:00,兵庫県北部,35°28.1′N,134°30.9′E,10 km,3,震度２,35.46833333,134.515
2001/1/12,8:32:33,兵庫県北部,35°28.1′N,134°28.0′E,10 km,2.8,震度１,35.46833333,134.4666667
2001/1/12,8:33:24,兵庫県北部,35°28.0′N,134°30.2′E,10 km,3.1,震度１,35.46666667,134.5033333
2001/1/12,8:34:45,兵庫県北部,35°28.2′N,134°30.6′E,10 km,3.2,震度１,35.47,134.51
2001/1/12,8:37:02,兵庫県北部,35°27.9′N,134°31.0′E,10 km,3.4,震度２,35.465,134.5166667
2001/1/12,8:46:40,兵庫県北部,35°28.1′N,134°30.5′E,11 km,3.3,震度１,35.46833333,134.5083333
2001/1/12,8:55:30,兵庫県北部,35°29.5′N,134°28.5′E,9 km,2.6,震度１,35.49166667,134.475
2001/1/12,9:14:57,兵庫県北部,35°28.2′N,134°28.6′E,9 km,3.6,震度２,35.47,134.4766667
2001/1/12,9:15:37,兵庫県北部,35°27.7′N,134°29.2′E,10 km,3,震度１,35.46166667,134.4866667
2001/1/12,9:20:34,兵庫県北部,35°28.2′N,134°30.4′E,10 km,3.1,震度１,35.47,134.5066667
2001/1/12,9:22:33,兵庫県北部,35°28.2′N,134°30.4′E,10 km,3.1,震度１,35.47,134.5066667
2001/1/12,9:39:42,兵庫県北部,35°28.1′N,134°30.8′E,10 km,3.5,震度２,35.46833333,134.5133333
2001/1/12,10:16:40,兵庫県北部,35°28.2′N,134°28.1′E,10 km,2.4,震度１,35.47,134.4683333
2001/1/12,10:25:19,新島・神津島近海,34°14.3′N,139°09.8′E,10 km,2.1,震度１,34.23833333,139.1633333
2001/1/12,10:26:31,兵庫県北部,35°28.4′N,134°31.1′E,11 km,3.8,震度２,35.47333333,134.5183333
2001/1/12,11:01:10,兵庫県北部,35°28.0′N,134°31.0′E,10 km,2.8,震度１,35.46666667,134.5166667
2001/1/12,11:51:48,兵庫県北部,35°28.0′N,134°29.6′E,10 km,3,震度１,35.46666667,134.4933333
2001/1/12,11:58:46,兵庫県北部,35°28.5′N,134°31.0′E,9 km,2.8,震度１,35.475,134.5166667
2001/1/12,12:23:50,兵庫県北部,35°28.2′N,134°30.7′E,11 km,3.8,震度１,35.47,134.5116667
2001/1/12,12:26:24,兵庫県北部,35°28.2′N,134°30.7′E,10 km,2.9,震度１,35.47,134.5116667
2001/1/12,12:43:50,兵庫県北部,35°27.6′N,134°30.3′E,9 km,2.8,震度１,35.46,134.505
2001/1/12,13:01:06,兵庫県北部,35°28.3′N,134°30.5′E,10 km,2.7,震度１,35.47166667,134.5083333
2001/1/12,13:20:43,兵庫県北部,35°28.1′N,134°30.4′E,10 km,3.3,震度１,35.46833333,134.5066667
2001/1/12,13:36:50,兵庫県北部,35°28.1′N,134°29.6′E,8 km,2.7,震度１,35.46833333,134.4933333
2001/1/12,13:57:00,兵庫県北部,35°28.2′N,134°30.4′E,10 km,3,震度１,35.47,134.5066667
2001/1/12,14:16:07,兵庫県北部,35°28.3′N,134°30.0′E,10 km,3.1,震度１,35.47166667,134.5
2001/1/12,14:37:31,兵庫県北部,35°28.1′N,134°30.9′E,10 km,3.4,震度２,35.46833333,134.515
